block,date,event_name_1,event_type_1,event_name_2,event_type_2,alerts,snap_alerts
development_2,2015-04-27,,,,,2,0
development_2,2015-04-28,,,,,2,0
development_2,2015-04-29,,,,,3,0
development_2,2015-04-30,,,,,2,0
development_2,2015-05-01,,,,,1,1
development_2,2015-05-02,,,,,2,1
development_2,2015-05-03,,,,,4,4
development_2,2015-05-04,,,,,2,2
development_2,2015-05-05,Cinco De Mayo,Cultural,,,4,4
development_2,2015-05-06,,,,,2,2
development_2,2015-05-09,,,,,3,3
development_2,2015-05-10,Mother's day,Cultural,,,2,1
development_2,2015-05-12,,,,,1,1
development_2,2015-05-13,,,,,1,1
development_2,2015-05-14,,,,,1,0
development_2,2015-05-15,,,,,1,0
development_2,2015-05-16,,,,,2,0
development_2,2015-05-18,,,,,1,0
development_2,2015-05-21,,,,,1,0
development_2,2015-05-22,,,,,1,0
development_2,2015-05-23,,,,,5,0
development_2,2015-05-24,,,,,3,0
development_3,2015-07-21,,,,,1,0
development_3,2015-07-22,,,,,1,0
development_3,2015-07-25,,,,,1,0
development_3,2015-07-26,,,,,3,0
development_3,2015-07-27,,,,,1,0
development_3,2015-07-28,,,,,1,0
development_3,2015-07-31,,,,,1,0
development_3,2015-08-01,,,,,1,1
development_3,2015-08-02,,,,,5,4
development_3,2015-08-03,,,,,1,1
development_3,2015-08-05,,,,,1,1
development_3,2015-08-08,,,,,3,3
development_3,2015-08-09,,,,,2,2
development_3,2015-08-12,,,,,2,1
development_3,2015-08-14,,,,,2,1
development_3,2015-08-15,,,,,2,1
development_3,2015-08-16,,,,,5,0
development_4,2015-10-12,ColumbusDay,National,,,3,1
development_4,2015-10-13,,,,,1,1
development_4,2015-10-14,,,,,3,1
development_4,2015-10-15,,,,,2,1
development_4,2015-10-16,,,,,3,0
development_4,2015-10-17,,,,,5,0
development_4,2015-10-18,,,,,9,0
development_4,2015-10-19,,,,,3,0
development_4,2015-10-20,,,,,4,0
development_4,2015-10-21,,,,,3,0
development_4,2015-10-22,,,,,5,0
development_4,2015-10-23,,,,,3,0
development_4,2015-10-24,,,,,5,0
development_4,2015-10-25,,,,,12,0
development_4,2015-10-26,,,,,4,0
development_4,2015-10-27,,,,,6,0
development_4,2015-10-28,,,,,6,0
development_4,2015-10-29,,,,,10,0
development_4,2015-10-30,,,,,8,0
development_4,2015-10-31,Halloween,Cultural,,,9,0
development_4,2015-11-01,,,,,3,2
development_4,2015-11-02,,,,,2,2
development_4,2015-11-03,,,,,1,1
development_4,2015-11-04,,,,,1,1
development_4,2015-11-06,,,,,3,3
development_4,2015-11-07,,,,,2,2
development_4,2015-11-08,,,,,3,2
development_5,2016-01-04,,,,,1,0
development_5,2016-01-05,,,,,2,2
development_5,2016-01-06,,,,,1,1
development_5,2016-01-07,OrthodoxChristmas,Religious,,,1,1
development_5,2016-01-08,,,,,1,1
development_5,2016-01-09,,,,,8,8
development_5,2016-01-10,,,,,3,3
development_5,2016-01-11,,,,,2,1
development_5,2016-01-12,,,,,1,1
development_5,2016-01-14,,,,,3,2
development_5,2016-01-15,,,,,4,4
development_5,2016-01-16,,,,,7,0
development_5,2016-01-17,,,,,1,0
development_5,2016-01-18,MartinLutherKingDay,National,,,5,0
development_5,2016-01-22,,,,,2,0
development_5,2016-01-23,,,,,5,0
development_5,2016-01-24,,,,,5,0
development_5,2016-01-25,,,,,3,0
development_5,2016-01-27,,,,,2,0
development_5,2016-01-29,,,,,1,0
development_5,2016-01-30,,,,,5,0
development_5,2016-01-31,,,,,9,0
