store_id,dept_id,alerts
CA_2,FOODS_2,28
WI_2,FOODS_2,20
WI_2,HOBBIES_2,16
CA_2,HOBBIES_2,15
CA_1,HOBBIES_2,12
CA_2,FOODS_3,10
CA_4,HOBBIES_2,10
TX_2,HOBBIES_2,9
TX_3,HOBBIES_2,9
TX_1,HOBBIES_2,8
TX_3,HOUSEHOLD_2,8
WI_3,HOBBIES_2,8
TX_3,FOODS_2,7
CA_3,FOODS_3,6
CA_3,HOBBIES_2,5
CA_4,HOBBIES_1,5
TX_1,FOODS_1,5
WI_1,FOODS_3,5
WI_1,HOBBIES_2,5
CA_1,FOODS_3,4
CA_2,HOUSEHOLD_1,4
CA_3,FOODS_2,4
CA_4,FOODS_3,4
TX_1,HOUSEHOLD_2,4
WI_3,FOODS_3,4
CA_2,HOUSEHOLD_2,3
CA_4,FOODS_1,3
TX_1,FOODS_2,3
TX_3,HOUSEHOLD_1,3
WI_1,HOUSEHOLD_2,3
WI_2,FOODS_3,3
CA_1,HOUSEHOLD_1,2
CA_2,FOODS_1,2
CA_2,HOBBIES_1,2
CA_3,HOBBIES_1,2
CA_4,FOODS_2,2
TX_2,FOODS_3,2
TX_2,HOUSEHOLD_1,2
TX_3,HOBBIES_1,2
WI_1,FOODS_1,2
WI_2,FOODS_1,2
WI_3,FOODS_2,2
CA_1,FOODS_2,1
CA_1,HOBBIES_1,1
CA_1,HOUSEHOLD_2,1
CA_3,HOUSEHOLD_1,1
CA_3,HOUSEHOLD_2,1
CA_4,HOUSEHOLD_2,1
TX_1,FOODS_3,1
TX_1,HOBBIES_1,1
TX_1,HOUSEHOLD_1,1
TX_2,HOBBIES_1,1
TX_3,FOODS_1,1
TX_3,FOODS_3,1
WI_1,FOODS_2,1
WI_1,HOUSEHOLD_1,1
WI_2,HOUSEHOLD_1,1
