block,policy,alerts,alert_rate,spikes,drops,series_with_alerts,zero_alert_series,max_alerts_one_series,top5_series_share,top10_series_share,max_alerts_one_date,zero_alert_days,alerts_per_day_median
development_2,absolute_score_gte_3,46,0.02346938775510204,32,14,23,47,5,0.5,0.717391304347826,5,6,1.5
development_2,absolute_score_gte_4,15,0.007653061224489796,13,2,10,60,3,0.6666666666666666,1.0,2,16,0.0
development_2,top_5_per_day,140,0.07142857142857142,91,49,41,29,14,0.36428571428571427,0.5714285714285714,5,0,5.0
development_2,top_10_per_day,280,0.14285714285714285,164,116,60,10,16,0.2392857142857143,0.4035714285714286,10,0,10.0
development_3,absolute_score_gte_3,33,0.01683673469387755,18,15,13,57,8,0.6666666666666666,0.9090909090909091,5,11,1.0
development_3,absolute_score_gte_4,9,0.004591836734693878,9,0,3,67,5,1.0,1.0,3,22,0.0
development_3,top_5_per_day,140,0.07142857142857142,70,70,48,22,17,0.35,0.5357142857142857,5,0,5.0
development_3,top_10_per_day,280,0.14285714285714285,125,155,64,6,19,0.25,0.42142857142857143,10,0,10.0
development_4,absolute_score_gte_3,119,0.060714285714285714,95,24,26,44,16,0.4789915966386555,0.7394957983193278,12,1,3.0
development_4,absolute_score_gte_4,62,0.03163265306122449,54,8,17,53,12,0.5645161290322581,0.8548387096774194,7,7,2.0
development_4,top_5_per_day,140,0.07142857142857142,103,37,36,34,18,0.4357142857142857,0.6857142857142857,5,0,5.0
development_4,top_10_per_day,280,0.14285714285714285,179,101,54,16,20,0.29642857142857143,0.5107142857142857,10,0,10.0
development_5,absolute_score_gte_3,72,0.036734693877551024,69,3,27,43,9,0.4583333333333333,0.7083333333333334,9,6,2.0
development_5,absolute_score_gte_4,23,0.01173469387755102,23,0,10,60,6,0.782608695652174,1.0,4,13,1.0
development_5,top_5_per_day,140,0.07142857142857142,115,25,41,29,12,0.4,0.5785714285714286,5,0,5.0
development_5,top_10_per_day,280,0.14285714285714285,212,68,58,12,19,0.2571428571428571,0.4357142857142857,10,0,10.0
