config,block,fit_seconds,score_seconds,model_bytes,training_rows,training_feature_bytes,score_median,score_iqr,score_p95,score_p98,score_p99,score_max,top5_series,top5_top5series_share
IF-1,development_2,0.15155916684307158,0.0274356659501791,2862429,1960,125572,0.46344347570453087,0.06184972945516731,0.5848439315275761,0.6247244747970968,0.6569388348438518,0.7241106404039744,27,0.55
IF-1,development_3,0.13729612505994737,0.019919083220884204,2774957,3920,251012,0.45244739493042796,0.05807508851435145,0.5844826851805632,0.6507274111256242,0.6752049802784962,0.7275145259946211,26,0.5714285714285714
IF-1,development_4,0.14310279116034508,0.020129499956965446,2729901,5880,376452,0.46223518417357246,0.07976915623633496,0.6075841492982972,0.6565398766003282,0.6865149251862707,0.7439820438117569,21,0.5857142857142857
IF-1,development_5,0.1444442078936845,0.019905625144019723,2720397,7840,501892,0.45641321241941346,0.08272944833190393,0.6317271565826288,0.6794858804676301,0.7007763372794891,0.7379601741239825,22,0.55
IF-2,development_2,0.20960375014692545,0.03283804189413786,7273533,1960,125572,0.46049213582300114,0.06233325909547327,0.5764028750460037,0.6145105313848195,0.6441688483240625,0.7227407274981653,26,0.5857142857142857
IF-2,development_3,0.21516424999572337,0.032013708958402276,7029949,3920,251012,0.44648203662552227,0.0587464542752788,0.5752413664463949,0.6376006557123913,0.6685543772128549,0.740138112760907,25,0.5785714285714286
IF-2,development_4,0.22735783411189914,0.03292450006119907,6701005,5880,376452,0.4547814071882841,0.08239671287403416,0.6001939815321365,0.6456763009877265,0.6763503094886444,0.7462529505691753,28,0.5357142857142857
IF-2,development_5,0.23295395798049867,0.03271683305501938,6778973,7840,501892,0.448635811423325,0.0821904268653097,0.6288523772147746,0.6837021660872227,0.7048138683862181,0.7365700937024724,22,0.5571428571428572
IF-3,development_2,0.25503337499685585,0.037401708075776696,11836509,1960,125572,0.45154569737960926,0.06232580410390759,0.5713631097541558,0.6087228320990691,0.6433540347310267,0.7192190306594701,31,0.55
IF-3,development_3,0.2512307500001043,0.03627624991349876,11659981,3920,251012,0.4398952012999201,0.05460097002722769,0.5688572006362119,0.62821537894237,0.6631474210613005,0.7471120485967324,27,0.5571428571428572
IF-3,development_4,0.2557241669856012,0.03752445802092552,11225613,5880,376452,0.44962166687122473,0.08336860949860364,0.5942043826277433,0.64426243942578,0.6741944501358581,0.7455517690086282,28,0.5
IF-3,development_5,0.26114483387209475,0.036913791904225945,11362717,7840,501892,0.44268840142541394,0.07870269638046307,0.6183937586331129,0.6781120503007897,0.7015880821600906,0.741635241999069,22,0.5285714285714286
