config,block,if_top5_rows,robust_top5_overlap,overlap_rate,robust_threshold_overlap,if_top5_spikes,if_top5_drops
IF-1,development_2,140,28,0.2,16,71,69
IF-1,development_3,140,47,0.3357142857142857,13,64,76
IF-1,development_4,140,22,0.15714285714285714,23,38,102
IF-1,development_5,140,66,0.4714285714285714,38,130,10
IF-2,development_2,140,29,0.20714285714285716,18,73,67
IF-2,development_3,140,48,0.34285714285714286,15,66,74
IF-2,development_4,140,34,0.24285714285714285,36,44,96
IF-2,development_5,140,66,0.4714285714285714,38,130,10
IF-3,development_2,140,34,0.24285714285714285,19,78,62
IF-3,development_3,140,52,0.37142857142857144,15,63,77
IF-3,development_4,140,47,0.3357142857142857,48,54,86
IF-3,development_5,140,68,0.4857142857142857,41,127,13
