scope,block,d,date,store_id,dept_id,state_id,actual_sales,expected_sales,residual,prior_residual_count,prior_residual_median,prior_residual_mad,prior_robust_scale,prior_sales_mad,prior_sales_robust_scale,anomaly_score,undefined_score_reason,direction,if_score,if_train_p95,if_train_p98,robust_threshold_alert,robust_top5,if_top5,config,event_name_1,event_type_1,snap_CA,snap_TX,snap_WI,snap
development,development_3,d_1648,2015-08-03,CA_3,FOODS_3,CA,3125.0,3649.1737532358616,-524.1737532358616,56,-83.62139260229856,168.30769873577697,249.5329941456629,357.5,530.0295,-1.7655074517977132,,drop,0.7471120485967324,0.5804081517407421,0.6231250427190342,False,False,True,IF-3,,,1,1,1,1
development,development_4,d_1718,2015-10-12,CA_3,FOODS_3,CA,3393.0,2934.966107389859,458.0338926101408,84,-122.92371426129512,158.59014238188752,235.1257450953864,305.5,452.9342999999999,2.470837919666141,,spike,0.7455517690086282,0.5841992130969822,0.6297447197208182,False,False,True,IF-3,ColumbusDay,National,0,1,1,0
development,development_4,d_1737,2015-10-31,TX_2,FOODS_3,TX,1462.0,2066.822656804879,-604.822656804879,84,-80.15133513886883,107.18374788319396,158.91062461162338,243.0,360.2718,-3.301675535844779,,drop,0.7450106686967752,0.5841992130969822,0.6297447197208182,True,False,True,IF-3,Halloween,Cultural,0,0,0,0
development,development_3,d_1646,2015-08-01,CA_3,FOODS_3,CA,3451.0,4004.265443401867,-553.2654434018668,56,-83.62139260229856,168.30769873577697,249.5329941456629,357.5,530.0295,-1.882091995118759,,drop,0.744257037818119,0.5804081517407421,0.6231250427190342,False,False,True,IF-3,,,1,1,0,1
development,development_5,d_1816,2016-01-18,CA_3,FOODS_3,CA,2894.0,2305.2451335555957,588.7548664444043,112,-108.53258867580212,167.45240183027454,248.26493095356503,290.0,429.9539999999999,2.8086425756629545,,spike,0.741635241999069,0.5840009805040661,0.6300971936856734,False,False,True,IF-3,MartinLutherKingDay,National,0,0,0,0
development,development_5,d_1816,2016-01-18,CA_2,FOODS_3,CA,1860.0,1386.8438363441608,473.1561636558392,112,-20.009620695794524,86.08198274003996,127.62514761038324,406.0,601.9356,3.864174056489092,,spike,0.737515086359,0.5840009805040661,0.6300971936856734,True,True,True,IF-3,MartinLutherKingDay,National,0,0,0,0
development,development_4,d_1739,2015-11-02,CA_3,FOODS_3,CA,2627.0,3245.5056891529835,-618.5056891529835,84,-122.92371426129512,158.59014238188752,235.1257450953864,305.5,452.9342999999999,-2.1077316509540007,,drop,0.7367457257725101,0.5841992130969822,0.6297447197208182,False,False,True,IF-3,,,1,0,1,1
development,development_3,d_1640,2015-07-26,CA_3,FOODS_3,CA,3172.0,3809.4498811663634,-637.4498811663634,56,-83.62139260229856,168.30769873577697,249.5329941456629,357.5,530.0295,-2.219459957430607,,drop,0.7362841171479749,0.5804081517407421,0.6231250427190342,False,True,True,IF-3,,,0,0,0,0
development,development_5,d_1807,2016-01-09,CA_3,FOODS_3,CA,3666.0,2836.08359268853,829.9164073114698,112,-108.53258867580212,167.45240183027454,248.26493095356503,290.0,429.9539999999999,3.780030439187553,,spike,0.7345406941981486,0.5840009805040661,0.6300971936856734,True,True,True,IF-3,,,1,1,1,1
development,development_5,d_1807,2016-01-09,WI_2,FOODS_3,WI,3044.0,2379.2128800481773,664.7871199518227,112,-38.25813019703333,115.34013595272484,171.00328556350982,289.0,428.4714,4.111296738142194,,spike,0.7270253685561431,0.5840009805040661,0.6300971936856734,True,True,True,IF-3,,,1,1,1,1
development,development_4,d_1744,2015-11-07,CA_3,FOODS_3,CA,3017.0,3565.874381620026,-548.8743816200258,84,-122.92371426129512,158.59014238188752,235.1257450953864,305.5,452.9342999999999,-1.811586677528358,,drop,0.7254703423357196,0.5841992130969822,0.6297447197208182,False,False,True,IF-3,,,1,1,0,1
development,development_5,d_1805,2016-01-07,CA_3,FOODS_3,CA,2693.0,2282.442269380273,410.55773061972695,112,-108.53258867580212,167.45240183027454,248.26493095356503,290.0,429.9539999999999,2.090872509869784,,spike,0.7252673444813763,0.5840009805040661,0.6300971936856734,False,False,True,IF-3,OrthodoxChristmas,Religious,1,1,0,1
development,development_5,d_1809,2016-01-11,CA_3,FOODS_3,CA,3146.0,2194.057228184996,951.942771815004,112,-108.53258867580212,167.45240183027454,248.26493095356503,290.0,429.9539999999999,4.271547158987007,,spike,0.7249440997705948,0.5840009805040661,0.6300971936856734,True,True,True,IF-3,,,0,1,1,0
development,development_5,d_1807,2016-01-09,CA_1,FOODS_3,CA,2863.0,2155.4867494079667,707.5132505920333,112,-75.14483531028804,130.8091678850933,193.9376723064393,285.0,422.541,4.035616580287969,,spike,0.7247670290707315,0.5840009805040661,0.6300971936856734,True,True,True,IF-3,,,1,1,1,1
development,development_3,d_1657,2015-08-12,WI_1,FOODS_3,WI,1180.0,1676.608126014001,-496.6081260140011,56,46.183518691135646,101.234203658786,150.0898303445161,223.5,331.36109999999996,-3.616445187919882,,drop,0.7242143032315604,0.5804081517407421,0.6231250427190342,True,True,True,IF-3,,,0,1,1,1
development,development_3,d_1661,2015-08-16,CA_2,FOODS_3,CA,2777.0,2071.666012599188,705.333987400812,56,-11.501883919436295,75.00584926262098,111.20367211676188,127.0,188.2902,6.446152880343587,,spike,0.7209195948647209,0.5804081517407421,0.6231250427190342,True,True,True,IF-3,,,0,0,0,0
development,development_5,d_1822,2016-01-24,CA_3,FOODS_3,CA,3756.0,2830.245869020674,925.754130979326,112,-108.53258867580212,167.45240183027454,248.26493095356503,290.0,429.9539999999999,4.166060489020816,,spike,0.7205751012958396,0.5840009805040661,0.6300971936856734,True,True,True,IF-3,,,0,0,0,0
development,development_4,d_1742,2015-11-05,CA_3,FOODS_3,CA,2190.0,2776.701959815284,-586.7019598152838,84,-122.92371426129512,158.59014238188752,235.1257450953864,305.5,452.9342999999999,-1.972469009575459,,drop,0.7201516622369937,0.5841992130969822,0.6297447197208182,False,False,True,IF-3,,,1,1,1,1
development,development_5,d_1816,2016-01-18,CA_4,FOODS_3,CA,1212.0,843.6861955314779,368.3138044685221,112,-44.68372235091363,69.22113778878327,102.62725888565006,104.0,154.19039999999998,4.024247858744899,,spike,0.7196773096881679,0.5840009805040661,0.6300971936856734,True,True,True,IF-3,MartinLutherKingDay,National,0,0,0,0
development,development_2,d_1577,2015-05-24,CA_3,FOODS_3,CA,2733.0,3342.373140816824,-609.3731408168242,28,-74.46351295280215,138.22045023211945,204.92563951414027,351.0,520.3926,-2.610262088883769,,drop,0.7192190306594701,0.5745012525871541,0.6224907033148555,False,False,True,IF-3,,,0,0,0,0
development,development_3,d_1653,2015-08-08,WI_1,FOODS_3,WI,1571.0,2075.926559634561,-504.9265596345608,56,46.183518691135646,101.234203658786,150.0898303445161,223.5,331.36109999999996,-3.671868220922622,,drop,0.718515318507778,0.5804081517407421,0.6231250427190342,True,True,True,IF-3,,,1,0,1,1
development,development_4,d_1739,2015-11-02,CA_2,FOODS_3,CA,1214.0,1748.4098462246077,-534.4098462246075,84,4.372528826101758,82.10250197454587,121.72516942746172,267.5,396.5955,-4.426219964078832,,drop,0.7182011641974869,0.5841992130969822,0.6297447197208182,True,True,True,IF-3,,,1,0,1,1
development,development_5,d_1821,2016-01-23,CA_3,FOODS_3,CA,3555.0,2514.78465696349,1040.21534303651,112,-108.53258867580212,167.45240183027454,248.26493095356503,290.0,429.9539999999999,4.627105114282821,,spike,0.716362560631853,0.5840009805040661,0.6300971936856734,True,True,True,IF-3,,,0,0,0,0
development,development_4,d_1737,2015-10-31,TX_3,FOODS_3,TX,1383.0,1783.6405580978358,-400.64055809783576,84,36.136377915826415,110.9947077685514,164.5607537376543,229.0,339.5154,-2.6541986840311864,,drop,0.7115443648097923,0.5841992130969822,0.6297447197208182,False,False,True,IF-3,Halloween,Cultural,0,0,0,0
development,development_2,d_1556,2015-05-03,WI_2,FOODS_3,WI,2922.0,2364.1794696073052,557.8205303926948,28,-76.95283291566568,123.12135013865915,182.53971371557608,376.5,558.1989,3.4774534833413373,,spike,0.7105535349630316,0.5745012525871541,0.6224907033148555,True,True,True,IF-3,,,1,1,1,1
development,development_4,d_1737,2015-10-31,WI_2,FOODS_2,WI,713.0,1108.7497682241303,-395.74976822413055,84,19.0087280436033,54.715948661772245,81.12186548594353,195.0,289.10699999999997,-5.112783018280091,,drop,0.7103673923930643,0.5841992130969822,0.6297447197208182,True,True,True,IF-3,Halloween,Cultural,0,0,0,0
development,development_2,d_1576,2015-05-23,CA_3,FOODS_3,CA,2576.0,3115.768810592068,-539.7688105920679,28,-74.46351295280215,138.22045023211945,204.92563951414027,351.0,520.3926,-2.2706055657186752,,drop,0.7079938744873437,0.5745012525871541,0.6224907033148555,False,False,True,IF-3,,,0,0,0,0
development,development_4,d_1740,2015-11-03,CA_3,FOODS_3,CA,2502.0,2969.3788164374646,-467.3788164374646,84,-122.92371426129512,158.59014238188752,235.1257450953864,305.5,452.9342999999999,-1.4649825013268116,,drop,0.7068718732840239,0.5841992130969822,0.6297447197208182,False,False,True,IF-3,,,1,1,1,1
development,development_4,d_1743,2015-11-06,CA_3,FOODS_3,CA,2392.0,2883.6699934532908,-491.6699934532908,84,-122.92371426129512,158.59014238188752,235.1257450953864,305.5,452.9342999999999,-1.5682939315828717,,drop,0.7046576385264595,0.5841992130969822,0.6297447197208182,False,False,True,IF-3,,,1,1,1,1
development,development_3,d_1660,2015-08-15,WI_1,FOODS_3,WI,1747.0,2168.273589330356,-421.2735893303561,56,46.183518691135646,101.234203658786,150.0898303445161,223.5,331.36109999999996,-3.114515533454139,,drop,0.7043319636368647,0.5804081517407421,0.6231250427190342,True,True,True,IF-3,,,0,1,1,1
development,development_3,d_1657,2015-08-12,WI_3,FOODS_3,WI,1541.0,1942.941135899557,-401.9411358995569,56,-27.94179603935947,96.23655862560622,142.6803218183238,298.5,442.5561,-2.6212398114465594,,drop,0.7024742905843205,0.5804081517407421,0.6231250427190342,False,True,True,IF-3,,,0,1,1,1
development,development_3,d_1659,2015-08-14,WI_1,FOODS_3,WI,1462.0,1906.2954029798195,-444.2954029798195,56,46.183518691135646,101.234203658786,150.0898303445161,223.5,331.36109999999996,-3.267902432464014,,drop,0.7017785517203139,0.5804081517407421,0.6231250427190342,True,True,True,IF-3,,,0,0,1,1
development,development_3,d_1648,2015-08-03,CA_2,FOODS_3,CA,1427.0,1824.0730273158167,-397.0730273158167,56,-11.501883919436295,75.00584926262098,111.20367211676188,127.0,188.2902,-3.467251899663328,,drop,0.7003961369272557,0.5804081517407421,0.6231250427190342,True,True,True,IF-3,,,1,1,1,1
development,development_2,d_1565,2015-05-12,WI_2,FOODS_2,WI,1302.0,896.7958930750351,405.2041069249649,28,29.068813291958293,49.95675386777094,74.0658832843572,171.5,254.2659,5.078388010157529,,spike,0.6944784678780632,0.5745012525871541,0.6224907033148555,True,True,True,IF-3,,,0,1,1,1
development,development_2,d_1563,2015-05-10,CA_3,HOUSEHOLD_1,CA,1319.0,1624.6125930306737,-305.6125930306737,28,50.16081232165277,114.31163811440103,169.47843466841096,163.0,241.6638,-2.099225226197106,,drop,0.6938062703199371,0.5745012525871541,0.6224907033148555,False,False,True,IF-3,Mother's day,Cultural,1,0,0,1
development,development_2,d_1577,2015-05-24,TX_3,FOODS_3,TX,1485.0,2000.1623375546671,-515.1623375546671,28,37.17821673819208,85.3247671818001,126.5024998237368,205.0,303.933,-4.3662422091458035,,drop,0.6937221521108555,0.5745012525871541,0.6224907033148555,True,True,True,IF-3,,,0,0,0,0
development,development_2,d_1567,2015-05-14,CA_3,FOODS_3,CA,2028.0,2471.545495163334,-443.54549516333464,28,-74.46351295280215,138.22045023211945,204.92563951414027,351.0,520.3926,-1.801053216598917,,drop,0.6889602193629738,0.5745012525871541,0.6224907033148555,False,False,True,IF-3,,,0,0,1,0
development,development_2,d_1557,2015-05-04,CA_3,FOODS_3,CA,3353.0,2955.2358347307486,397.7641652692514,28,-74.46351295280215,138.22045023211945,204.92563951414027,351.0,520.3926,2.304385529022438,,spike,0.685712848240385,0.5745012525871541,0.6224907033148555,False,True,True,IF-3,,,1,0,0,1
development,development_2,d_1558,2015-05-05,CA_3,FOODS_3,CA,2852.0,2600.608724518682,251.39127548131864,28,-74.46351295280215,138.22045023211945,204.92563951414027,351.0,520.3926,1.5901123412701912,,spike,0.6811876201674695,0.5745012525871541,0.6224907033148555,False,False,True,IF-3,Cinco De Mayo,Cultural,1,1,1,1
development,development_2,d_1569,2015-05-16,CA_3,FOODS_3,CA,2763.0,3203.842687124461,-440.842687124461,28,-74.46351295280215,138.22045023211945,204.92563951414027,351.0,520.3926,-1.7878640029637578,,drop,0.6784071068698592,0.5745012525871541,0.6224907033148555,False,False,True,IF-3,,,0,0,0,0
validation,validation,d_1898,2016-04-09,WI_2,FOODS_2,WI,2063.0,1414.1918947343318,648.8081052656682,140,22.7488264989434,79.78522908850823,118.2895806466223,189.5,280.9527,5.292598683201112,,spike,0.7283172782293057,0.5816164288740285,0.6270296198748329,True,True,True,IF-3,,,1,1,1,1
validation,validation,d_1890,2016-04-01,WI_2,HOUSEHOLD_1,WI,1869.0,1185.5666980366104,683.4333019633896,140,41.814943232053565,89.19799197932105,132.24494290854136,109.5,162.3447,4.851742112929564,,spike,0.7215243976643729,0.5816164288740285,0.6270296198748329,True,True,True,IF-3,,,1,1,0,0
validation,validation,d_1897,2016-04-08,WI_2,FOODS_3,WI,3093.0,2537.7924618485167,555.2075381514833,140,-1.287182867057936,139.49137680735964,206.8099152545914,304.0,450.7104,2.690851259880231,,spike,0.7110360584684796,0.5816164288740285,0.6270296198748329,False,True,True,IF-3,,,1,0,1,1
validation,validation,d_1900,2016-04-11,WI_2,FOODS_2,WI,1806.0,1297.1098011688937,508.8901988311063,140,22.7488264989434,79.78522908850823,118.2895806466223,189.5,280.9527,4.10975649482146,,spike,0.7016181010329431,0.5816164288740285,0.6270296198748329,True,True,True,IF-3,,,0,1,1,1
validation,validation,d_1913,2016-04-24,CA_3,FOODS_3,CA,3385.0,3856.37304479524,-471.3730447952398,140,-55.46453564718309,215.11194850378365,318.92497485170964,340.5,504.8253,-1.3040951381792585,,drop,0.6977031397221596,0.5816164288740285,0.6270296198748329,False,False,True,IF-3,,,0,0,0,0
validation,validation,d_1886,2016-03-28,CA_3,FOODS_3,CA,2433.0,2909.49463087785,-476.4946308778499,140,-55.46453564718309,215.11194850378365,318.92497485170964,340.5,504.8253,-1.320154043835648,,drop,0.6923058694779024,0.5816164288740285,0.6270296198748329,False,False,True,IF-3,,,0,0,0,0
validation,validation,d_1905,2016-04-16,CA_3,FOODS_3,CA,3136.0,3586.678298977017,-450.6782989770172,140,-55.46453564718309,215.11194850378365,318.92497485170964,340.5,504.8253,-1.2392060656698225,,drop,0.688025399696621,0.5816164288740285,0.6270296198748329,False,False,True,IF-3,,,0,0,0,0
validation,validation,d_1904,2016-04-15,CA_3,FOODS_3,CA,2568.0,2983.1527205359052,-415.1527205359053,140,-55.46453564718309,215.11194850378365,318.92497485170964,340.5,504.8253,-1.1278144179707663,,drop,0.6819611531603447,0.5816164288740285,0.6270296198748329,False,False,True,IF-3,,,0,1,1,0
validation,validation,d_1897,2016-04-08,WI_2,FOODS_2,WI,1736.0,1306.7274677369123,429.27253226308767,140,22.7488264989434,79.78522908850823,118.2895806466223,189.5,280.9527,3.436682280399583,,spike,0.6778013310000893,0.5816164288740285,0.6270296198748329,True,True,True,IF-3,,,1,0,1,1
validation,validation,d_1910,2016-04-21,CA_3,FOODS_3,CA,2251.0,2677.53765221884,-426.53765221883987,140,-55.46453564718309,215.11194850378365,318.92497485170964,340.5,504.8253,-1.1635122547056542,,drop,0.6747543676074379,0.5816164288740285,0.6270296198748329,False,True,True,IF-3,,,0,0,0,0
