d,date,store_id,dept_id,state_id,actual_sales,expected_sales,residual,prior_residual_median,prior_residual_mad,prior_robust_scale,anomaly_score,direction,is_statistical_alert,daily_review_rank,is_daily_review_candidate,if_score,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,snap,abs_score
d_1924,2016-05-05,WI_2,HOBBIES_2,WI,83.0,28.39373193071259,54.60626806928741,-5.035826698847519,7.1431782645639466,10.590476095042506,5.631672668243301,spike,True,1,True,0.6658487984854892,Cinco De Mayo,Cultural,,,1,1,1,1,5.631672668243301
d_1940,2016-05-21,CA_2,HOUSEHOLD_2,CA,573.0,410.3956884301643,162.60431156983572,-1.2395743605110283,20.142957831405752,29.863949280842167,5.486343563925526,spike,True,1,True,0.5710695017023127,,,,,0,0,0,0,5.486343563925526
d_1933,2016-05-14,CA_2,HOUSEHOLD_2,CA,575.0,413.1077477535616,161.89225224643843,-1.2395743605110283,20.142957831405752,29.863949280842167,5.462500122567484,spike,True,1,True,0.570153890973964,,,,,0,0,1,0,5.462500122567484
d_1934,2016-05-15,CA_2,FOODS_2,CA,881.0,681.2022139373992,199.79778606260084,-12.024618362151116,29.612275350817725,43.903159435122355,4.824764485065621,spike,True,1,True,0.5726394762014096,,,,,0,1,1,0,4.824764485065621
d_1918,2016-04-29,WI_2,HOUSEHOLD_1,WI,1635.0,979.076911789184,655.9230882108159,21.26622900931295,89.68038723788936,132.96014211889477,4.773286558568689,spike,True,1,True,0.712582049386607,,,,,0,0,0,0,4.773286558568689
d_1940,2016-05-21,CA_2,FOODS_1,CA,809.0,549.3132577536926,259.6867422463074,-7.615755540324386,39.40764758403104,58.42577830808442,4.575078082436857,spike,True,2,True,0.5995631509077185,,,,,0,0,0,0,4.575078082436857
d_1919,2016-04-30,CA_3,HOBBIES_2,CA,131.0,54.45562715013643,76.54437284986356,3.648252262186009,10.789659601607411,15.996749325343147,4.556933355965673,spike,True,1,True,0.626187011061666,Pesach End,Religious,,,0,0,0,0,4.556933355965673
d_1941,2016-05-22,CA_2,FOODS_2,CA,835.0,653.3988327581673,181.6011672418327,-12.024618362151116,29.612275350817725,43.903159435122355,4.410292746473366,spike,True,1,True,0.5599664858117678,,,,,0,0,0,0,4.410292746473366
d_1923,2016-05-04,WI_3,FOODS_1,WI,407.0,218.34809947250972,188.65190052749028,-12.280809838717076,31.015004139908868,45.98284513782888,4.369732011230103,spike,True,1,True,0.5932458214523493,,,,,1,0,0,0,4.369732011230103
d_1922,2016-05-03,WI_3,FOODS_1,WI,422.0,235.62774076797177,186.37225923202823,-12.280809838717076,31.015004139908868,45.98284513782888,4.320156103331646,spike,True,1,True,0.6023006122662365,,,,,1,1,1,1,4.320156103331646
d_1920,2016-05-01,WI_1,FOODS_2,WI,1047.0,772.5105167693484,274.48948323065156,13.518371491533683,41.2053589013627,61.09106510716034,4.271837645674474,spike,True,1,True,0.6682254687806376,OrthodoxEaster,Religious,,,1,1,0,0,4.271837645674474
d_1922,2016-05-03,TX_3,FOODS_1,TX,463.0,260.2561555174411,202.74384448255893,-6.582356202483766,33.46832859706534,49.62014397800907,4.218573021025756,spike,True,2,True,0.6060770255065795,,,,,1,1,1,1,4.218573021025756
d_1928,2016-05-09,WI_2,FOODS_3,WI,3388.0,2584.9654741147647,803.0345258852353,-14.49269494220357,131.23108380650547,194.563204851525,4.201859346690501,spike,True,1,True,0.7521075107839055,,,,,1,1,1,1,4.201859346690501
d_1932,2016-05-13,CA_2,FOODS_1,CA,683.0,448.70006328788145,234.29993671211855,-7.615755540324386,39.40764758403104,58.42577830808442,4.1405643066798286,spike,True,1,True,0.5985175767863523,,,,,0,1,0,0,4.1405643066798286
d_1940,2016-05-21,CA_2,HOBBIES_1,CA,691.0,470.0798091731382,220.9201908268618,-4.7627889331289595,36.89570009761081,54.70156496471779,4.125713403365243,spike,True,3,True,0.5757476408982765,,,,,0,0,0,0,4.125713403365243
