block,d,date,store_id,dept_id,state_id,actual_sales,expected_sales,residual
development_1_scale_seed,d_1466,2015-02-02,CA_1,FOODS_1,CA,322.0,347.4149444488629,-25.41494444886291
development_1_scale_seed,d_1466,2015-02-02,CA_1,FOODS_2,CA,402.0,510.48912112482196,-108.48912112482196
development_1_scale_seed,d_1466,2015-02-02,CA_1,FOODS_3,CA,1916.0,2144.1015458971538,-228.10154589715376
development_1_scale_seed,d_1466,2015-02-02,CA_1,HOBBIES_1,CA,405.0,475.2398780009967,-70.23987800099673
development_1_scale_seed,d_1466,2015-02-02,CA_1,HOBBIES_2,CA,38.0,44.23190992775318,-6.231909927753179
development_1_scale_seed,d_1466,2015-02-02,CA_1,HOUSEHOLD_1,CA,646.0,684.8903070339123,-38.890307033912336
development_1_scale_seed,d_1466,2015-02-02,CA_1,HOUSEHOLD_2,CA,157.0,158.9493688415128,-1.9493688415128076
development_1_scale_seed,d_1466,2015-02-02,CA_2,FOODS_1,CA,226.0,276.39441727326226,-50.39441727326226
development_1_scale_seed,d_1466,2015-02-02,CA_2,FOODS_2,CA,110.0,102.45557039450429,7.544429605495708
development_1_scale_seed,d_1466,2015-02-02,CA_2,FOODS_3,CA,820.0,943.3438249280861,-123.34382492808606
development_1_scale_seed,d_1466,2015-02-02,CA_2,HOBBIES_1,CA,174.0,246.59742587094956,-72.59742587094956
development_1_scale_seed,d_1466,2015-02-02,CA_2,HOBBIES_2,CA,21.0,33.493651620046734,-12.493651620046734
development_1_scale_seed,d_1466,2015-02-02,CA_2,HOUSEHOLD_1,CA,393.0,461.0249412474759,-68.02494124747591
development_1_scale_seed,d_1466,2015-02-02,CA_2,HOUSEHOLD_2,CA,178.0,199.81762827971437,-21.81762827971437
development_1_scale_seed,d_1466,2015-02-02,CA_3,FOODS_1,CA,374.0,512.3817595006658,-138.3817595006658
development_1_scale_seed,d_1466,2015-02-02,CA_3,FOODS_2,CA,648.0,715.674216014601,-67.67421601460103
development_1_scale_seed,d_1466,2015-02-02,CA_3,FOODS_3,CA,3073.0,3137.473615601793,-64.47361560179297
development_1_scale_seed,d_1466,2015-02-02,CA_3,HOBBIES_1,CA,491.0,534.4600283010423,-43.46002830104226
development_1_scale_seed,d_1466,2015-02-02,CA_3,HOBBIES_2,CA,43.0,49.96973058274744,-6.969730582747438
development_1_scale_seed,d_1466,2015-02-02,CA_3,HOUSEHOLD_1,CA,1337.0,1314.8141892597982,22.18581074020176
development_1_scale_seed,d_1466,2015-02-02,CA_3,HOUSEHOLD_2,CA,276.0,263.44943766345716,12.55056233654284
development_1_scale_seed,d_1466,2015-02-02,CA_4,FOODS_1,CA,187.0,196.81717327619563,-9.817173276195632
development_1_scale_seed,d_1466,2015-02-02,CA_4,FOODS_2,CA,331.0,321.9440386290575,9.055961370942498
development_1_scale_seed,d_1466,2015-02-02,CA_4,FOODS_3,CA,1215.0,1114.4395524589904,100.56044754100958
development_1_scale_seed,d_1466,2015-02-02,CA_4,HOBBIES_1,CA,333.0,307.6379221283795,25.3620778716205
development_1_scale_seed,d_1466,2015-02-02,CA_4,HOBBIES_2,CA,14.0,22.968110484479286,-8.968110484479286
development_1_scale_seed,d_1466,2015-02-02,CA_4,HOUSEHOLD_1,CA,336.0,327.88921353410973,8.110786465890271
development_1_scale_seed,d_1466,2015-02-02,CA_4,HOUSEHOLD_2,CA,137.0,113.26851089107838,23.731489108921622
development_1_scale_seed,d_1466,2015-02-02,TX_1,FOODS_1,TX,234.0,221.05071449312436,12.94928550687564
development_1_scale_seed,d_1466,2015-02-02,TX_1,FOODS_2,TX,317.0,328.032628079607,-11.03262807960698
development_1_scale_seed,d_1466,2015-02-02,TX_1,FOODS_3,TX,1327.0,1368.7579793978057,-41.757979397805684
development_1_scale_seed,d_1466,2015-02-02,TX_1,HOBBIES_1,TX,207.0,207.22419187296686,-0.2241918729668555
development_1_scale_seed,d_1466,2015-02-02,TX_1,HOBBIES_2,TX,45.0,31.492698661639114,13.507301338360886
development_1_scale_seed,d_1466,2015-02-02,TX_1,HOUSEHOLD_1,TX,566.0,630.8248179707851,-64.82481797078515
development_1_scale_seed,d_1466,2015-02-02,TX_1,HOUSEHOLD_2,TX,120.0,128.5387875696484,-8.538787569648406
development_1_scale_seed,d_1466,2015-02-02,TX_2,FOODS_1,TX,217.0,256.3140090602592,-39.314009060259195
development_1_scale_seed,d_1466,2015-02-02,TX_2,FOODS_2,TX,399.0,373.9138589935875,25.086141006412504
development_1_scale_seed,d_1466,2015-02-02,TX_2,FOODS_3,TX,1693.0,1757.985848830837,-64.98584883083709
development_1_scale_seed,d_1466,2015-02-02,TX_2,HOBBIES_1,TX,221.0,289.2590710009101,-68.25907100091013
development_1_scale_seed,d_1466,2015-02-02,TX_2,HOBBIES_2,TX,69.0,46.947731608353486,22.052268391646514
development_1_scale_seed,d_1466,2015-02-02,TX_2,HOUSEHOLD_1,TX,666.0,667.2423055310054,-1.2423055310053996
development_1_scale_seed,d_1466,2015-02-02,TX_2,HOUSEHOLD_2,TX,139.0,134.18734601470192,4.812653985298084
development_1_scale_seed,d_1466,2015-02-02,TX_3,FOODS_1,TX,359.0,260.6432959555913,98.35670404440867
development_1_scale_seed,d_1466,2015-02-02,TX_3,FOODS_2,TX,419.0,411.8212708360492,7.178729163950777
development_1_scale_seed,d_1466,2015-02-02,TX_3,FOODS_3,TX,1390.0,1442.023859017851,-52.02385901785101
development_1_scale_seed,d_1466,2015-02-02,TX_3,HOBBIES_1,TX,234.0,302.740036605789,-68.74003660578899
development_1_scale_seed,d_1466,2015-02-02,TX_3,HOBBIES_2,TX,94.0,48.61902575537582,45.38097424462418
development_1_scale_seed,d_1466,2015-02-02,TX_3,HOUSEHOLD_1,TX,750.0,720.9728467519539,29.027153248046147
development_1_scale_seed,d_1466,2015-02-02,TX_3,HOUSEHOLD_2,TX,149.0,132.55260395504072,16.447396044959277
development_1_scale_seed,d_1466,2015-02-02,WI_1,FOODS_1,WI,233.0,272.55966261415324,-39.55966261415324
development_1_scale_seed,d_1466,2015-02-02,WI_1,FOODS_2,WI,505.0,492.1262025485999,12.873797451400094
development_1_scale_seed,d_1466,2015-02-02,WI_1,FOODS_3,WI,1408.0,1560.9445604491548,-152.94456044915478
development_1_scale_seed,d_1466,2015-02-02,WI_1,HOBBIES_1,WI,316.0,309.5145642404643,6.485435759535676
development_1_scale_seed,d_1466,2015-02-02,WI_1,HOBBIES_2,WI,21.0,30.690125371454076,-9.690125371454076
development_1_scale_seed,d_1466,2015-02-02,WI_1,HOUSEHOLD_1,WI,445.0,483.4792725273196,-38.47927252731961
development_1_scale_seed,d_1466,2015-02-02,WI_1,HOUSEHOLD_2,WI,118.0,141.36344426331524,-23.363444263315245
development_1_scale_seed,d_1466,2015-02-02,WI_2,FOODS_1,WI,315.0,329.1102116303088,-14.110211630308811
development_1_scale_seed,d_1466,2015-02-02,WI_2,FOODS_2,WI,893.0,868.2847416703062,24.715258329693825
development_1_scale_seed,d_1466,2015-02-02,WI_2,FOODS_3,WI,2072.0,2356.015959412372,-284.015959412372
development_1_scale_seed,d_1466,2015-02-02,WI_2,HOBBIES_1,WI,190.0,207.08172795463813,-17.081727954638126
development_1_scale_seed,d_1466,2015-02-02,WI_2,HOBBIES_2,WI,54.0,32.232944163273295,21.767055836726705
development_1_scale_seed,d_1466,2015-02-02,WI_2,HOUSEHOLD_1,WI,776.0,847.6973969417595,-71.69739694175951
development_1_scale_seed,d_1466,2015-02-02,WI_2,HOUSEHOLD_2,WI,128.0,118.2502536629126,9.749746337087402
development_1_scale_seed,d_1466,2015-02-02,WI_3,FOODS_1,WI,194.0,193.9708478665328,0.029152133467192698
development_1_scale_seed,d_1466,2015-02-02,WI_3,FOODS_2,WI,415.0,404.3406628825792,10.659337117420819
development_1_scale_seed,d_1466,2015-02-02,WI_3,FOODS_3,WI,1785.0,1805.4617644054763,-20.461764405476288
development_1_scale_seed,d_1466,2015-02-02,WI_3,HOBBIES_1,WI,136.0,211.064542517557,-75.06454251755699
development_1_scale_seed,d_1466,2015-02-02,WI_3,HOBBIES_2,WI,26.0,26.48948001515347,-0.4894800151534717
development_1_scale_seed,d_1466,2015-02-02,WI_3,HOUSEHOLD_1,WI,632.0,550.8840163090442,81.11598369095577
development_1_scale_seed,d_1466,2015-02-02,WI_3,HOUSEHOLD_2,WI,126.0,105.65956181412918,20.340438185870823
development_1_scale_seed,d_1467,2015-02-03,CA_1,FOODS_1,CA,315.0,343.0094345515877,-28.009434551587674
development_1_scale_seed,d_1467,2015-02-03,CA_1,FOODS_2,CA,509.0,453.42551419875053,55.574485801249466
