block,family,magnitude,store_id,dept_id,date,window_position,original_actual_sales,injected_actual_sales,expected_sales,prior_robust_scale,prior_sales_robust_scale,score_before,score_after,detected,direction_correct,detected_at_4
development_2,one_day_positive_spike,2,CA_1,FOODS_1,2015-04-28,1,271.0,466.7032,313.45115173563784,61.50968509725808,97.85159999999999,-0.3533431182947064,2.8283216827940554,False,True,False
development_2,one_day_positive_spike,4,CA_1,FOODS_1,2015-04-28,1,271.0,662.4064,313.45115173563784,61.50968509725808,97.85159999999999,-0.3533431182947064,6.009986483882817,True,True,True
development_2,one_day_negative_drop,2,CA_1,FOODS_1,2015-04-29,1,292.0,96.29680000000002,313.45115173563784,61.50968509725808,97.85159999999999,-0.011933469280975282,-3.193598270369737,True,True,False
development_2,one_day_negative_drop,4,CA_1,FOODS_1,2015-04-29,1,292.0,0.0,313.45115173563784,61.50968509725808,97.85159999999999,-0.011933469280975282,-4.759153350805234,True,True,True
development_2,two_day_positive_sustained_spike,2,CA_1,FOODS_1,2015-04-30,1,303.0,498.7032,319.7210394757289,61.50968509725808,97.85159999999999,0.06496681483574164,3.2466316159245032,True,True,False
development_2,two_day_positive_sustained_spike,2,CA_1,FOODS_1,2015-05-01,2,474.0,669.7031999999999,414.4350668799792,61.50968509725808,97.85159999999999,1.3051938209588854,4.486858622047645,True,True,True
development_2,two_day_positive_sustained_spike,4,CA_1,FOODS_1,2015-04-30,1,303.0,694.4064,319.7210394757289,61.50968509725808,97.85159999999999,0.06496681483574164,6.428296417013264,True,True,True
development_2,two_day_positive_sustained_spike,4,CA_1,FOODS_1,2015-05-01,2,474.0,865.4064,414.4350668799792,61.50968509725808,97.85159999999999,1.3051938209588854,7.668523423136408,True,True,True
development_2,two_day_negative_sustained_drop,2,CA_1,FOODS_1,2015-05-02,1,479.0,283.2968,499.4429858464023,61.50968509725808,97.85159999999999,0.004456890832906969,-3.1772079102558544,True,True,False
development_2,two_day_negative_sustained_drop,2,CA_1,FOODS_1,2015-05-03,2,535.0,339.2968,457.16961672863306,61.50968509725808,97.85159999999999,1.6021462459707365,-1.579518555118025,False,True,False
development_2,two_day_negative_sustained_drop,4,CA_1,FOODS_1,2015-05-02,1,479.0,87.59360000000004,499.4429858464023,61.50968509725808,97.85159999999999,0.004456890832906969,-6.358872711344616,True,True,True
development_2,two_day_negative_sustained_drop,4,CA_1,FOODS_1,2015-05-03,2,535.0,143.59360000000004,457.16961672863306,61.50968509725808,97.85159999999999,1.6021462459707365,-4.761183356206786,True,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_1,2015-05-04,1,327.0,522.7031999999999,347.84859959093035,61.50968509725808,97.85159999999999,-0.0021374161268298384,3.1795273849619305,True,True,False
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_1,2015-05-05,2,360.0,555.7031999999999,315.79637108224614,61.50968509725808,97.85159999999999,1.0554558459070225,4.237120646995782,True,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_1,2015-05-06,3,372.0,567.7031999999999,335.1046428490061,61.50968509725808,97.85159999999999,0.9366408697743331,4.118305670863093,True,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_1,2015-05-04,1,327.0,718.4064,347.84859959093035,61.50968509725808,97.85159999999999,-0.0021374161268298384,6.361192186050694,True,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_1,2015-05-05,2,360.0,751.4064,315.79637108224614,61.50968509725808,97.85159999999999,1.0554558459070225,7.418785448084545,True,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_1,2015-05-06,3,372.0,763.4064,335.1046428490061,61.50968509725808,97.85159999999999,0.9366408697743331,7.2999704719518554,True,True,True
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_1,2015-05-07,1,379.0,183.29680000000002,335.58201506080104,61.50968509725808,97.85159999999999,1.0426831585275855,-2.138981642561176,False,True,False
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_1,2015-05-08,2,425.0,229.29680000000002,382.4485096966208,61.50968509725808,97.85159999999999,1.0285960333138944,-2.153068767774867,False,True,False
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_1,2015-05-09,3,485.0,289.2968,468.94101954550183,61.50968509725808,97.85159999999999,0.5978913433615478,-2.583773457727214,False,True,False
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_1,2015-05-07,1,379.0,0.0,335.58201506080104,61.50968509725808,97.85159999999999,1.0426831585275855,-5.118948126053559,True,True,True
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_1,2015-05-08,2,425.0,33.59360000000004,382.4485096966208,61.50968509725808,97.85159999999999,1.0285960333138944,-5.334733568863628,True,True,True
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_1,2015-05-09,3,485.0,93.59360000000004,468.94101954550183,61.50968509725808,97.85159999999999,0.5978913433615478,-5.7654382588159745,True,True,True
development_2,one_day_positive_spike,2,CA_1,FOODS_2,2015-05-10,1,593.0,803.5292,510.7858478389492,45.4405792447987,105.26459999999999,2.1160887389327465,6.749154679087942,True,True,True
development_2,one_day_positive_spike,4,CA_1,FOODS_2,2015-05-10,1,593.0,1014.0583999999999,510.7858478389492,45.4405792447987,105.26459999999999,2.1160887389327465,11.382220619243137,True,True,True
development_2,one_day_negative_drop,2,CA_1,FOODS_2,2015-05-11,1,526.0,315.47080000000005,479.4952958896661,45.4405792447987,105.26459999999999,1.3302394244171454,-3.30282651573805,True,True,False
development_2,one_day_negative_drop,4,CA_1,FOODS_2,2015-05-11,1,526.0,104.94160000000005,479.4952958896661,45.4405792447987,105.26459999999999,1.3302394244171454,-7.935892455893247,True,True,True
development_2,two_day_positive_sustained_spike,2,CA_1,FOODS_2,2015-05-12,1,399.0,609.5292,419.8288871490719,45.4405792447987,105.26459999999999,-0.15155487438931187,4.481511065765884,True,True,True
development_2,two_day_positive_sustained_spike,2,CA_1,FOODS_2,2015-05-13,2,410.0,620.5292,418.2607633835133,45.4405792447987,105.26459999999999,0.12502883062578632,4.758094770780982,True,True,True
development_2,two_day_positive_sustained_spike,4,CA_1,FOODS_2,2015-05-12,1,399.0,820.0583999999999,419.8288871490719,45.4405792447987,105.26459999999999,-0.15155487438931187,9.11457700592108,True,True,True
development_2,two_day_positive_sustained_spike,4,CA_1,FOODS_2,2015-05-13,2,410.0,831.0583999999999,418.2607633835133,45.4405792447987,105.26459999999999,0.12502883062578632,9.391160710936177,True,True,True
development_2,two_day_negative_sustained_drop,2,CA_1,FOODS_2,2015-05-14,1,357.0,146.47080000000003,416.8759944699988,45.4405792447987,105.26459999999999,-1.0108552611773265,-5.643921201332521,True,True,True
development_2,two_day_negative_sustained_drop,2,CA_1,FOODS_2,2015-05-15,2,453.0,242.47080000000003,455.3167332445829,45.4405792447987,105.26459999999999,0.25583768556816266,-4.377228254587035,True,True,True
development_2,two_day_negative_sustained_drop,4,CA_1,FOODS_2,2015-05-14,1,357.0,0.0,416.8759944699988,45.4405792447987,105.26459999999999,-1.0108552611773265,-8.867269196324589,True,True,True
development_2,two_day_negative_sustained_drop,4,CA_1,FOODS_2,2015-05-15,2,453.0,31.94160000000005,455.3167332445829,45.4405792447987,105.26459999999999,0.25583768556816266,-9.010294194742231,True,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_2,2015-05-16,1,621.0,831.5292,587.0456515884936,45.4405792447987,105.26459999999999,1.05404673701288,5.687112677168075,True,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_2,2015-05-17,2,595.0,805.5292,622.1564590217845,45.4405792447987,105.26459999999999,-0.2908042408778979,4.342261699277298,True,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_2,2015-05-18,3,477.0,687.5292,465.3153580088832,45.4405792447987,105.26459999999999,0.5639626141759398,5.197028554331135,True,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_2,2015-05-16,1,621.0,1042.0584,587.0456515884936,45.4405792447987,105.26459999999999,1.05404673701288,10.320178617323272,True,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_2,2015-05-17,2,595.0,1016.0583999999999,622.1564590217845,45.4405792447987,105.26459999999999,-0.2908042408778979,8.975327639432493,True,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_2,2015-05-18,3,477.0,898.0583999999999,465.3153580088832,45.4405792447987,105.26459999999999,0.5639626141759398,9.830094494486332,True,True,True
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_2,2015-05-19,1,409.0,198.47080000000003,398.87080004693274,45.4405792447987,105.26459999999999,0.5297323718704883,-4.103333568284708,True,True,True
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_2,2015-05-20,2,338.0,127.47080000000003,397.3014336297675,45.4405792447987,105.26459999999999,-0.9982110376709301,-5.6312769778261265,True,True,True
development_2,three_day_negative_sustained_drop,2,CA_1,FOODS_2,2015-05-21,3,378.0,167.47080000000003,395.916664716253,45.4405792447987,105.26459999999999,-0.08746628922559621,-4.720532229380792,True,True,True
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_2,2015-05-19,1,409.0,0.0,398.87080004693274,45.4405792447987,105.26459999999999,0.5297323718704883,-8.471033172878057,True,True,True
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_2,2015-05-20,2,338.0,0.0,397.3014336297675,45.4405792447987,105.26459999999999,-0.9982110376709301,-8.436496500079263,True,True,True
development_2,three_day_negative_sustained_drop,4,CA_1,FOODS_2,2015-05-21,3,378.0,0.0,395.916664716253,45.4405792447987,105.26459999999999,-0.08746628922559621,-8.406022220557993,True,True,True
development_2,one_day_positive_spike,2,CA_1,FOODS_3,2015-04-28,1,1706.0,2505.1214,1655.2480999601828,154.1242798603323,399.5607,1.414050430734857,6.598966141122378,True,True,True
development_2,one_day_positive_spike,4,CA_1,FOODS_3,2015-04-28,1,1706.0,3304.2428,1655.2480999601828,154.1242798603323,399.5607,1.414050430734857,11.783881851509898,True,True,True
development_2,one_day_negative_drop,2,CA_1,FOODS_3,2015-04-29,1,1699.0,899.8786,1650.6944437473985,154.1242798603323,399.5607,1.398177890798694,-3.786737819588829,True,True,False
development_2,one_day_negative_drop,4,CA_1,FOODS_3,2015-04-29,1,1699.0,100.75720000000001,1650.6944437473985,154.1242798603323,399.5607,1.398177890798694,-8.971653529976349,True,True,True
development_2,two_day_positive_sustained_spike,2,CA_1,FOODS_3,2015-04-30,1,1694.0,2493.1214,1650.1520724378456,154.1242798603323,399.5607,1.3692555905972794,6.554171300984801,True,True,True
development_2,two_day_positive_sustained_spike,2,CA_1,FOODS_3,2015-05-01,2,2533.0,3332.1214,2339.7289828049456,154.1242798603323,399.5607,2.3387529972895114,7.523668707677032,True,True,True
development_2,two_day_positive_sustained_spike,4,CA_1,FOODS_3,2015-04-30,1,1694.0,3292.2428,1650.1520724378456,154.1242798603323,399.5607,1.3692555905972794,11.739087011372321,True,True,True
development_2,two_day_positive_sustained_spike,4,CA_1,FOODS_3,2015-05-01,2,2533.0,4131.2428,2339.7289828049456,154.1242798603323,399.5607,2.3387529972895114,12.708584418064554,True,True,True
development_2,two_day_negative_sustained_drop,2,CA_1,FOODS_3,2015-05-02,1,2836.0,2036.8786,2950.6845236938307,154.1242798603323,399.5607,0.34065418269680176,-4.844261527690719,True,True,True
development_2,two_day_negative_sustained_drop,2,CA_1,FOODS_3,2015-05-03,2,3146.0,2346.8786,3028.189698668962,154.1242798603323,399.5607,1.8491434696252194,-3.3357722407623016,True,True,False
development_2,two_day_negative_sustained_drop,4,CA_1,FOODS_3,2015-05-02,1,2836.0,1237.7572,2950.6845236938307,154.1242798603323,399.5607,0.34065418269680176,-10.02917723807824,True,True,True
development_2,two_day_negative_sustained_drop,4,CA_1,FOODS_3,2015-05-03,2,3146.0,1547.7572,3028.189698668962,154.1242798603323,399.5607,1.8491434696252194,-8.520687951149823,True,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_3,2015-05-04,1,2205.0,3004.1214,2187.164556244872,154.1242798603323,399.5607,1.2004795623777218,6.385395272765243,True,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_3,2015-05-05,2,2019.0,2818.1214,1855.775985798728,154.1242798603323,399.5607,2.143799917729229,7.328715628116751,True,True,True
development_2,three_day_positive_sustained_spike,2,CA_1,FOODS_3,2015-05-06,3,1754.0,2553.1214,1982.9348331085023,154.1242798603323,399.5607,-0.4006327158905309,4.784282994496992,True,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_3,2015-05-04,1,2205.0,3803.2428,2187.164556244872,154.1242798603323,399.5607,1.2004795623777218,11.570310983152764,True,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_3,2015-05-05,2,2019.0,3617.2428,1855.775985798728,154.1242798603323,399.5607,2.143799917729229,12.513631338504272,True,True,True
development_2,three_day_positive_sustained_spike,4,CA_1,FOODS_3,2015-05-06,3,1754.0,3352.2428,1982.9348331085023,154.1242798603323,399.5607,-0.4006327158905309,9.969198704884512,True,True,True
