scope,block,d,date,store_id,dept_id,state_id,actual_sales,expected_sales,residual,prior_residual_count,prior_residual_median,prior_residual_mad,prior_robust_scale,anomaly_score,undefined_score_reason,direction,absolute_score,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,snap
development,development_4,d_1736,2015-10-30,WI_2,HOBBIES_2,WI,104.0,31.014323314454824,72.98567668554517,84,-7.718733877200542,5.064203351447134,7.50818788885552,10.74885335282247,,spike,10.74885335282247,,,,,0,0,0,0
development,development_4,d_1728,2015-10-22,TX_3,HOBBIES_2,TX,158.0,48.87715800808688,109.12284199191312,84,-0.5352793939080769,7.369300028604819,10.925724222409505,10.03669131249935,,spike,10.03669131249935,,,,,0,0,0,0
development,development_4,d_1737,2015-10-31,WI_2,HOBBIES_2,WI,96.0,33.90670958041379,62.09329041958621,84,-7.718733877200542,5.064203351447134,7.50818788885552,9.298118977604362,,spike,9.298118977604362,Halloween,Cultural,,,0,0,0,0
development,development_4,d_1733,2015-10-27,CA_2,HOBBIES_2,CA,127.0,44.91917624668088,82.08082375331912,84,-5.158289228009044,7.069504996497608,10.481248107807351,8.323351578362582,,spike,8.323351578362582,,,,,0,0,0,0
development,development_3,d_1661,2015-08-16,CA_2,FOODS_2,CA,628.0,491.8985454508966,136.10145454910338,56,-27.882194896998143,13.55541214377849,20.09725404436599,8.159505228132014,,spike,8.159505228132014,,,,,0,0,0,0
development,development_3,d_1641,2015-07-27,CA_2,FOODS_2,CA,418.0,287.9039313167776,130.09606868322243,56,-27.882194896998143,13.55541214377849,20.09725404436599,7.860688989225759,,spike,7.860688989225759,,,,,0,0,0,0
development,development_4,d_1728,2015-10-22,CA_1,HOBBIES_2,CA,112.0,38.110848100482045,73.88915189951796,84,-6.145024159855325,6.916738608385465,10.25475666079229,7.804590465356764,,spike,7.804590465356764,,,,,0,0,0,0
development,development_4,d_1737,2015-10-31,CA_2,FOODS_1,CA,816.0,503.2486194624252,312.7513805375748,84,-25.9858848523576,30.78934085214189,45.648276747385566,7.42059261655114,,spike,7.42059261655114,Halloween,Cultural,,,0,0,0,0
development,development_4,d_1732,2015-10-26,WI_2,HOBBIES_2,WI,76.0,28.430739221825817,47.56926077817418,84,-7.718733877200542,5.064203351447134,7.50818788885552,7.363693540146919,,spike,7.363693540146919,,,,,0,0,0,0
development,development_4,d_1734,2015-10-28,CA_4,HOBBIES_2,CA,60.0,20.579493805865315,39.42050619413469,84,-6.9853275775243695,4.470690989713555,6.628246461349316,7.001223331428777,,spike,7.001223331428777,,,,,0,0,0,0
validation,validation,d_1892,2016-04-03,CA_2,HOUSEHOLD_1,CA,1414.0,1053.3730391173003,360.6269608826997,140,-17.362190205236175,43.8782910242476,65.05395427254949,5.8103946995184295,,spike,5.8103946995184295,,,,,1,1,1,1
validation,validation,d_1898,2016-04-09,WI_2,FOODS_2,WI,2063.0,1414.1918947343318,648.8081052656682,140,22.7488264989434,79.78522908850823,118.2895806466223,5.292598683201112,,spike,5.292598683201112,,,,,1,1,1,1
validation,validation,d_1890,2016-04-01,WI_2,HOUSEHOLD_1,WI,1869.0,1185.5666980366104,683.4333019633896,140,41.814943232053565,89.19799197932105,132.24494290854136,4.851742112929564,,spike,4.851742112929564,,,,,1,1,0,0
validation,validation,d_1913,2016-04-24,CA_2,FOODS_2,CA,782.0,617.6855291378458,164.31447086215417,140,-14.477758752446583,26.532320088181756,39.33681776273827,4.545162516525711,,spike,4.545162516525711,,,,,0,0,0,0
validation,validation,d_1911,2016-04-22,TX_1,HOUSEHOLD_2,TX,133.0,221.12211164998857,-88.12211164998857,140,3.773250733823147,14.75553052655579,21.876549558671613,-4.200633291705979,,drop,4.200633291705979,,,,,0,0,0,0
validation,validation,d_1905,2016-04-16,TX_2,FOODS_2,TX,340.0,512.5939391882774,-172.59393918827743,140,0.622589638960477,28.14854603191526,41.73303434691756,-4.150585538241166,,drop,4.150585538241166,,,,,0,0,0,0
validation,validation,d_1900,2016-04-11,WI_2,FOODS_2,WI,1806.0,1297.1098011688937,508.8901988311063,140,22.7488264989434,79.78522908850823,118.2895806466223,4.10975649482146,,spike,4.10975649482146,,,,,0,1,1,1
validation,validation,d_1895,2016-04-06,CA_3,HOUSEHOLD_2,CA,166.0,293.5068394795811,-127.50683947958112,140,4.535509919811858,21.793649700624968,32.31126504614657,-4.0865731877353495,,drop,4.0865731877353495,,,,,1,1,1,1
validation,validation,d_1891,2016-04-02,TX_1,HOBBIES_1,TX,481.0,292.6130833821126,188.38691661788735,140,4.4708994726428415,32.26499069386779,47.83607520272838,3.844713772311209,,spike,3.844713772311209,,,,,1,0,1,0
validation,validation,d_1912,2016-04-23,CA_2,HOUSEHOLD_2,CA,486.0,377.6542668162288,108.3457331837712,140,-4.975515273958678,20.494761040359947,30.385532718437656,3.729447481069424,,spike,3.729447481069424,,,,,0,0,0,0
