horizon,service_target,per_series_windows,eligible_series,ineligible_series,minimum_expected_tail_observations
1,0.9,196,70,0,19.599999999999994
1,0.95,196,0,70,9.800000000000008
1,0.975,196,0,70,4.900000000000004
1,0.99,196,0,70,1.9600000000000017
2,0.9,189,70,0,18.899999999999995
2,0.95,189,0,70,9.450000000000008
2,0.975,189,0,70,4.725000000000004
2,0.99,189,0,70,1.8900000000000017
3,0.9,182,70,0,18.199999999999996
3,0.95,182,0,70,9.100000000000009
3,0.975,182,0,70,4.550000000000004
3,0.99,182,0,70,1.8200000000000016
7,0.9,154,70,0,15.399999999999997
7,0.95,154,0,70,7.700000000000006
7,0.975,154,0,70,3.850000000000003
7,0.99,154,0,70,1.5400000000000014
14,0.9,105,70,0,10.499999999999998
14,0.95,105,0,70,5.250000000000004
14,0.975,105,0,70,2.625000000000002
14,0.99,105,0,70,1.050000000000001
21,0.9,56,0,70,5.599999999999999
21,0.95,56,0,70,2.8000000000000025
21,0.975,56,0,70,1.4000000000000012
21,0.99,56,0,70,0.5600000000000005
28,0.9,7,0,70,0.6999999999999998
28,0.95,7,0,70,0.3500000000000003
28,0.975,7,0,70,0.17500000000000016
28,0.99,7,0,70,0.07000000000000006
