scale_band,store_id,dept_id,horizon,service_target,method_a_robust_normal,method_b_empirical,method_b_status,method_c_three_buffer_days
low,CA_4,HOBBIES_2,1,0.9,10.48210020232893,8.774769467713542,supported,65.16108974456216
low,CA_4,HOBBIES_2,1,0.95,13.453629958731039,,insufficient_tail_evidence:9.80_expected_observations,65.16108974456216
low,CA_4,HOBBIES_2,1,0.99,19.027725591992443,,insufficient_tail_evidence:1.96_expected_observations,65.16108974456216
low,CA_4,HOBBIES_2,7,0.9,27.733030353022176,34.75615012795982,supported,65.16108974456216
low,CA_4,HOBBIES_2,7,0.95,35.5949591018905,,insufficient_tail_evidence:7.70_expected_observations,65.16108974456216
low,CA_4,HOBBIES_2,7,0.99,50.34262993159127,,insufficient_tail_evidence:1.54_expected_observations,65.16108974456216
low,CA_4,HOBBIES_2,14,0.9,39.220427650948665,138.46011574519036,supported,65.16108974456216
low,CA_4,HOBBIES_2,14,0.95,50.338873914009184,,insufficient_tail_evidence:5.25_expected_observations,65.16108974456216
low,CA_4,HOBBIES_2,14,0.99,71.19523001478609,,insufficient_tail_evidence:1.05_expected_observations,65.16108974456216
low,CA_4,HOBBIES_2,28,0.9,55.46606070604435,,insufficient_tail_evidence:0.70_expected_observations,65.16108974456216
low,CA_4,HOBBIES_2,28,0.95,71.189918203781,,insufficient_tail_evidence:0.35_expected_observations,65.16108974456216
low,CA_4,HOBBIES_2,28,0.99,100.68525986318254,,insufficient_tail_evidence:0.07_expected_observations,65.16108974456216
medium,CA_4,HOBBIES_1,1,0.9,85.46985324015327,103.19048829096675,supported,893.723750140655
medium,CA_4,HOBBIES_1,1,0.95,109.69936901238447,,insufficient_tail_evidence:9.80_expected_observations,893.723750140655
medium,CA_4,HOBBIES_1,1,0.99,155.14991103406638,,insufficient_tail_evidence:1.96_expected_observations,893.723750140655
medium,CA_4,HOBBIES_1,7,0.9,226.13197626663367,310.8562666936903,supported,893.723750140655
medium,CA_4,HOBBIES_1,7,0.95,290.23724938747455,,insufficient_tail_evidence:7.70_expected_observations,893.723750140655
medium,CA_4,HOBBIES_1,7,0.99,410.4880805299357,,insufficient_tail_evidence:1.54_expected_observations,893.723750140655
medium,CA_4,HOBBIES_1,14,0.9,319.79890772250417,468.9762725867208,supported,893.723750140655
medium,CA_4,HOBBIES_1,14,0.95,410.45745438962877,,insufficient_tail_evidence:5.25_expected_observations,893.723750140655
medium,CA_4,HOBBIES_1,14,0.99,580.5178106779343,,insufficient_tail_evidence:1.05_expected_observations,893.723750140655
medium,CA_4,HOBBIES_1,28,0.9,452.26395253326734,,insufficient_tail_evidence:0.70_expected_observations,893.723750140655
medium,CA_4,HOBBIES_1,28,0.95,580.4744987749491,,insufficient_tail_evidence:0.35_expected_observations,893.723750140655
medium,CA_4,HOBBIES_1,28,0.99,820.9761610598714,,insufficient_tail_evidence:0.07_expected_observations,893.723750140655
high,CA_3,FOODS_3,1,0.9,336.52415756295784,409.84529354168114,supported,8852.381613161571
high,CA_3,FOODS_3,1,0.95,431.9240801590327,,insufficient_tail_evidence:9.80_expected_observations,8852.381613161571
high,CA_3,FOODS_3,1,0.99,610.8784691603785,,insufficient_tail_evidence:1.96_expected_observations,8852.381613161571
high,CA_3,FOODS_3,7,0.9,890.3592310771025,2943.46009029615,supported,8852.381613161571
high,CA_3,FOODS_3,7,0.95,1142.7637013611281,,insufficient_tail_evidence:7.70_expected_observations,8852.381613161571
high,CA_3,FOODS_3,7,0.99,1616.2325106822016,,insufficient_tail_evidence:1.54_expected_observations,8852.381613161571
high,CA_3,FOODS_3,14,0.9,1259.158099973319,6244.086493718578,supported,8852.381613161571
high,CA_3,FOODS_3,14,0.95,1616.1119250525846,,insufficient_tail_evidence:5.25_expected_observations,8852.381613161571
high,CA_3,FOODS_3,14,0.99,2285.6979365550874,,insufficient_tail_evidence:1.05_expected_observations,8852.381613161571
high,CA_3,FOODS_3,28,0.9,1780.718462154205,,insufficient_tail_evidence:0.70_expected_observations,8852.381613161571
high,CA_3,FOODS_3,28,0.95,2285.5274027222563,,insufficient_tail_evidence:0.35_expected_observations,8852.381613161571
high,CA_3,FOODS_3,28,0.99,3232.465021364403,,insufficient_tail_evidence:0.07_expected_observations,8852.381613161571
