category,visitorid,target_itemid,target_event,history_interaction_count,target_previously_seen
als_hit_item_cf_miss,44911,138427,view,2,False
als_hit_item_cf_miss,60457,11663,view,5,False
als_hit_item_cf_miss,72061,400946,view,9,False
als_hit_item_cf_miss,86282,384302,view,8,False
als_hit_item_cf_miss,94083,445351,view,4,False
item_cf_hit_als_miss,507,174566,view,5,True
item_cf_hit_als_miss,710,434634,view,6,True
item_cf_hit_als_miss,795,180905,view,12,True
item_cf_hit_als_miss,2432,393936,view,31,True
item_cf_hit_als_miss,3411,297166,view,4,True
both_hit,6168,4001,view,2,True
both_hit,6468,65273,view,17,True
both_hit,7127,150318,view,4,True
both_hit,11373,152433,view,3,True
both_hit,12901,399031,view,6,True
both_miss,155,50928,view,3,False
both_miss,162,156142,view,4,False
both_miss,673,155496,view,2,False
both_miss,724,227694,view,13,False
both_miss,1136,206411,view,11,False
