visitorid,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
155,62549,273936,109618,318333,200425,299222,235224,29100,17108,450641,243169,138427,334094,390379,80435,302478,288340,243949,84160,268883
162,231482,355994,455183,369447,321905,460188,118914,328696,204494,341482,48030,456005,234255,454818,277490,340960,64951,422356,268335,290999
507,231482,455183,321905,369447,355994,118914,328696,460188,48030,422356,161623,204494,393028,340960,128908,448044,277490,456005,268335,395845
673,69533,29100,48704,260539,114866,276245,264604,347812,378637,27442,174529,383084,215308,273936,124919,20981,17108,273041,380237,26423
710,37029,369447,65273,316753,341482,29100,133907,339703,370653,409804,309778,320130,253615,198209,82278,279457,299038,290999,190070,231482
724,89775,112782,65273,461686,170262,29100,17478,210087,13280,102471,420960,162745,320130,442131,82232,315543,462394,200242,282385,175356
795,48030,312728,272770,339703,409804,248455,325310,316753,198209,46232,157743,234255,320130,291877,461686,268883,76815,232509,162139,314789
1136,309778,360487,5470,135900,347414,367664,87557,359844,374092,432152,382751,359990,450455,414410,452852,350399,200242,258608,424515,393768
1243,111530,459475,109618,243355,238766,229928,339517,290999,29100,400946,244458,288340,235460,84160,107367,361956,272770,4001,344071,138427
1318,231482,48030,455183,384302,321905,118914,328696,204494,460188,340960,128908,422356,355994,445351,456005,277490,448044,395845,306590,373128
1581,341482,445351,29100,463617,438484,389158,446820,122604,422425,90240,299222,379390,247909,320130,213834,57788,227211,346015,441852,356455
1777,5411,257040,374092,382751,367664,399031,424515,272770,29196,432152,309778,212216,243980,140861,360487,292444,2836,372845,120541,69974
1879,9877,241555,325310,38965,272770,29196,283115,461686,37115,412622,239006,290999,265571,409804,112782,162139,65273,252319,46232,69974
2432,290999,29196,179601,133814,341482,384302,112782,257040,73852,187200,318897,444365,7943,30336,196477,92271,355994,242905,363981,379092
2866,354233,234255,151444,69533,232509,369447,133907,298009,384302,461686,312728,215596,48030,370653,12217,29100,318333,309778,9877,241555
3153,341482,369447,316753,65273,231482,37029,133907,455183,48030,339703,370653,29100,82278,309778,320130,454818,119736,190070,15948,279457
3411,369447,247909,315543,109618,320130,243355,84160,389158,441852,7943,110151,37029,12217,291877,453618,118551,138427,339703,232509,125751
3440,309778,257040,367664,360487,374092,382751,347414,135900,399031,432152,424515,450455,359844,414410,243980,350399,292444,212216,452852,257575
3926,369447,312728,315543,445351,12217,29196,335331,441668,345279,48030,111530,299222,384302,116624,441852,247909,420960,92466,191049,449912
4554,272770,247909,84160,369158,453618,69974,17478,298009,109618,162139,400946,243355,279457,341482,301721,425920,290269,128745,374092,314789
4752,112782,29100,299222,48030,445351,369447,65273,303715,247909,190000,204494,416017,389814,115258,238445,366809,446522,158666,441852,357054
5854,37029,445351,320130,122604,48030,399031,389158,234255,247909,367664,424515,438484,374092,243980,334520,84160,100282,212216,382751,51650
5861,369447,247909,290999,109618,12217,179601,84160,320130,243355,299677,315543,11663,48030,291877,318333,244458,110151,150882,138427,441852
