category,visitorid,target_itemid,target_event,history_interaction_count,target_previously_seen
popularity_miss_cf_hit,507,174566,view,5,True
popularity_miss_cf_hit,710,434634,view,6,True
popularity_miss_cf_hit,795,180905,view,12,True
popularity_miss_cf_hit,2432,393936,view,31,True
popularity_miss_cf_hit,3411,297166,view,4,True
popularity_hit_cf_miss,1243,441668,view,3,False
popularity_hit_cf_miss,24116,461686,view,2,False
popularity_hit_cf_miss,59408,219512,view,5,False
popularity_hit_cf_miss,67557,187946,view,2,False
popularity_hit_cf_miss,86282,384302,view,8,False
both_miss,155,50928,view,3,False
both_miss,162,156142,view,4,False
both_miss,673,155496,view,2,False
both_miss,724,227694,view,13,False
both_miss,1136,206411,view,11,False
both_hit,14960,298009,view,2,True
both_hit,94161,257040,view,3,True
both_hit,100413,7943,view,4,True
both_hit,104829,335975,view,60,True
both_hit,189464,111530,view,8,True
