visitorid,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
155,123027,134620,269955,434684,10628,35316,43081,43593,101610,103272,125968,134802,184202,189387,191235,219189,227993,230475,266344,285037
162,305656,390093,1152,248862,46023,101883,137767,153432,244405,10856,14660,37093,47115,78654,139561,178029,184846,213642,229123,10935
507,174566,197901,112463,308937,290327,165198,228436,15980,120832,215584,217685,374799,399734,86286,309499,460625,67672,82820,421085,126703
673,464649,338592,201499,243406,10935,14656,62077,63338,86297,89821,93595,98990,108765,121304,151282,154722,160054,165940,186780,192178
710,315916,65892,315434,434634,456235,325641,281657,403341,401544,465019,418252,229719,411514,37902,66180,70964,135210,150953,153586,174179
724,199648,257410,214610,89775,127861,101731,174314,125507,83611,426761,382054,38623,383938,376203,82232,678,1761,4115,23990,24595
795,262006,225123,154681,235009,131036,180905,155485,207825,243080,323109,1049,19730,386813,3608,19480,30681,40401,44055,45025,49074
1136,211422,265340,290153,412280,313748,432152,462203,405654,98051,309778,257040,356234,367664,47655,4311,8275,40876,67165,98711,136469
1243,9759,10173,238766,44208,6973,374178,222901,57810,177133,678,1761,23719,32431,85742,143459,335329,337802,372750,263195,235460
1318,308820,22472,65276,295515,371491,108604,362243,337234,444488,36813,311072,136318,437080,154784,210917,436324,212589,354761,207860,44547
1581,462574,352295,370458,209113,506,148209,137189,61038,98467,209626,538,1874,3710,5024,11227,12320,17817,18274,22128,25042
1777,118720,246196,459936,78280,10484,70643,125156,147422,436734,283242,358234,149281,400567,136251,154821,200231,10935,11873,14656,62077
1879,146857,247343,390946,421867,449926,462018,20773,240496,291410,340334,343016,433461,44955,28887,90446,114645,418513,122534,284299,322331
2432,393936,187200,183686,50855,414240,10628,21547,35316,37972,43081,43593,71670,82010,86659,88501,103272,110653,299320,285007,111070
2866,83908,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233
3153,87117,232350,25097,37902,66180,69213,70964,135210,150953,153586,158344,174179,177671,226891,272544,279674,286965,299052,308394,309849
3411,296901,297166,58822,62697,108211,133407,171699,227306,274454,320651,357398,370351,442491,10935,14656,29269,62077,62681,63338,68240
3440,257040,347414,243980,450455,309778,292444,350399,393768,248327,354555,279835,360487,367664,2836,414410,359844,320786,399031,432152,452852
3926,323347,36039,335331,187379,282446,26700,51987,94098,98587,116588,129732,254546,281325,320826,360684,402568,7704,112065,227563,284668
4554,74642,418151,4968,436831,80839,60564,273450,149407,110994,84610,1454,162626,464777,346115,263000,242567,268833,297387,400794,7546
4752,98893,136576,238445,46023,101883,137767,153432,373066,203462,362528,347530,148788,41518,46178,50508,64632,86884,110758,134279,251782
5854,142471,78291,56795,69599,45227,276049,355874,219534,363438,87930,205720,213879,304418,209422,291210,254832,98652,345694,132124,125890
5861,267347,243250,16813,678,1761,32431,47618,58822,62697,85742,96589,97181,108211,133407,143459,171699,219189,227306,274454,285949
5929,452702,112301,170420,285038,426489,174658,342033,65667,122988,332261,440760,165810,46454,145015,123688,99116,405886,50373,204828,305152
6168,4001,345279,99860,187129,167126,137582,138013,420162,169583,38623,112758,183358,375888,350638,159127,113440,73123,202469,302239,91839
6180,361443,93081,71442,91684,111101,305355,308266,410314,466372,47992,66187,400981,5900,244577,36425,46118,88099,133425,182569,212172
6241,230578,303927,29258,170011,8748,177543,106313,125047,460570,293587,336562,341526,265810,176995,253175,346203,49544,256706,308510,238059
6468,378760,108343,125400,289096,277247,65273,278166,96813,152852,294024,332654,446476,449139,67714,183501,186129,232325,222556,4115,44297
6561,91873,137102,464142,127346,424586,259105,6333,10647,24201,35168,45495,89783,95390,112721,124424,127222,149162,167353,172998,181217
6565,49621,226010,37029,51650,122604,199,205948,213500,61038,36093,538,1874,3710,5024,11227,12320,17817,18274,22128,25042
6693,236381,9466,32919,46023,101883,137767,153432,164578,177114,322332,359714,400797,60053,85929,90631,110387,131364,154705,160009,176151
6780,320494,460992,315545,388097,193828,370360,106615,456792,246634,119636,385769,402580,189635,422425,10540,156813,289844,40413,39439,287001
7127,150318,282692,21573,324946,10628,25097,27646,35316,37902,43081,43593,58822,61237,62697,66180,70964,80183,98117,103272,108211
7194,125949,422477,229557,426113,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255
7324,185800,323716,419724,286067,19476,78862,144365,222417,285563,287184,293865,306948,311433,428000,429115,440662,465017,33645,51186,62339
7341,184535,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233
7483,350625,388053,276051,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029
7603,151444,26988,161135,418759,339531,277224,27847,331030,148528,42145,207004,238065,308557,28970,37828,57932,58493,87113,100546,131749
7625,76941,88553,370745,116323,126015,36464,105488,237852,164143,39278,120917,137459,137582,140360,144090,182726,225706,240897,240928,255217
