visitorid,recommendation_timestamp,target_itemid,target_event,target_previously_seen,target_cold_at_T,target_rank,history_interaction_count,history_bucket,hit_rate_at_5,recall_at_5,ndcg_at_5,mrr_at_5,precision_at_5,hit_rate_at_10,recall_at_10,ndcg_at_10,mrr_at_10,precision_at_10,hit_rate_at_20,recall_at_20,ndcg_at_20,mrr_at_20,precision_at_20
155,2015-09-01 03:00:00+00:00,143373,view,False,False,,6,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,2015-09-01 03:00:00+00:00,230915,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,2015-09-01 03:00:00+00:00,129046,view,False,False,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1187,2015-09-01 03:00:00+00:00,284670,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1612,2015-09-01 03:00:00+00:00,177570,view,True,False,1,2,2-3,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
1764,2015-09-01 03:00:00+00:00,224481,view,False,False,,8,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,2015-09-01 03:00:00+00:00,5661,view,False,False,,9,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,2015-09-01 03:00:00+00:00,44871,view,False,False,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190,2015-09-01 03:00:00+00:00,5411,view,True,False,1,2,2-3,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
2194,2015-09-01 03:00:00+00:00,212156,view,False,False,,90,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2211,2015-09-01 03:00:00+00:00,340332,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2432,2015-09-01 03:00:00+00:00,393936,view,True,False,1,34,10+,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,0.05
2783,2015-09-01 03:00:00+00:00,300472,view,False,False,,10,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2857,2015-09-01 03:00:00+00:00,363125,view,False,False,,4,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2866,2015-09-01 03:00:00+00:00,294615,view,False,True,,3,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3090,2015-09-01 03:00:00+00:00,328430,view,False,False,,15,10+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3215,2015-09-01 03:00:00+00:00,111687,view,False,False,,2,2-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3390,2015-09-01 03:00:00+00:00,294438,view,False,False,,5,4-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
