visitorid,recommendation_timestamp,rank_1_itemid,rank_2_itemid,rank_3_itemid,rank_4_itemid,rank_5_itemid,rank_6_itemid,rank_7_itemid,rank_8_itemid,rank_9_itemid,rank_10_itemid,rank_11_itemid,rank_12_itemid,rank_13_itemid,rank_14_itemid,rank_15_itemid,rank_16_itemid,rank_17_itemid,rank_18_itemid,rank_19_itemid,rank_20_itemid
155,2015-09-01 03:00:00+00:00,123027,50928,134620,151670,373637,269955,10935,14656,62077,63338,86297,89821,93595,98990,108765,121304,151282,154722,160054,186780
278,2015-09-01 03:00:00+00:00,405060,458028,215131,394830,384130,273473,370434,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530
484,2015-09-01 03:00:00+00:00,74871,354629,385630,321946,57214,120898,141334,23145,23657,24149,83831,158819,217286,235427,340024,369617,408168,109924,277087,33362
1187,2015-09-01 03:00:00+00:00,361512,230707,283153,234138,393653,34761,294257,2138,21980,192468,241362,276982,332715,159996,81252,120799,129762,147415,208216,222393
1612,2015-09-01 03:00:00+00:00,177570,446709,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447,37029,320130
1764,2015-09-01 03:00:00+00:00,370531,317219,388992,370072,162458,64825,296247,26678,233660,35930,419348,10628,25068,35316,43593,56697,71241,103272,125968,184202
2004,2015-09-01 03:00:00+00:00,369844,189904,459340,132772,336327,118971,246361,323800,12381,27734,48129,177439,246456,311333,257599,273756,7319,240515,45124,143472
2043,2015-09-01 03:00:00+00:00,353581,423670,146763,86680,293437,345387,369871,114197,337184,13755,81824,414023,2785,123972,104760,73549,87778,389748,155307,165562
2190,2015-09-01 03:00:00+00:00,5411,33030,37807,33956,358234,459936,375492,193409,215715,154821,89143,321089,369310,270410,181831,449224,38813,258852,265521,407006
2194,2015-09-01 03:00:00+00:00,30806,88232,339518,381360,182985,199569,222357,28183,163545,223033,21577,192450,196002,246530,94881,345763,103038,378731,288077,175567
2211,2015-09-01 03:00:00+00:00,170811,292457,228889,243358,128651,73398,74683,91508,131729,133865,186593,239752,245965,10700,6946,53314,88642,112099,210507,271145
2432,2015-09-01 03:00:00+00:00,393936,187200,183686,50855,414240,10628,21547,35316,37972,43593,71670,82010,86659,88501,103272,110653,111070,285007,299320,125968
2783,2015-09-01 03:00:00+00:00,115967,118341,136184,106187,289618,45275,243697,82232,403969,113535,10935,14656,62077,63338,86297,89821,93595,98990,108765,121304
2857,2015-09-01 03:00:00+00:00,461686,218794,171878,32581,10572,108924,75392,250375,113712,35608,40630,415928,165058,180405,333039,266965,38751,28072,329133,350171
2866,2015-09-01 03:00:00+00:00,83908,90950,307053,159530,187946,461686,5411,370653,257040,309778,298009,219512,96924,384302,7943,335975,111530,441668,234255,369447
3090,2015-09-01 03:00:00+00:00,227605,208871,226202,192221,286376,387689,13985,446222,141454,365659,115643,156469,175285,43831,330506,181373,12381,27734,48129,177439
