visitorid,recommendation_timestamp,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
155,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
162,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
507,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
673,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
710,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
724,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
795,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
1136,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
1243,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
1318,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
1581,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
1777,2015-08-17 03:00:00+00:00,5411,461686,187946,309778,370653,257040,298009,335975,96924,7943,219512,369447,111530,48030,441668,234255,37029,384302,354233,29196
