model,cohort,n,prevalence,pr_auc,roc_auc,log_loss,brier,precision_at_0_5,recall_at_0_5,f1_at_0_5,confusion_matrix
recency_rule,September,2247,0.13796172674677348,0.4355364138430297,0.7829158825586624,0.927008388009201,0.30867821350371627,0.20852713178294574,0.867741935483871,0.33625,"[[916, 1021], [41, 269]]"
recency_rule,October,2282,0.13803680981595093,0.4303116861974288,0.7918464182826156,0.9286019180032967,0.30132159357458277,0.21593625498007968,0.8603174603174604,0.3452229299363057,"[[983, 984], [44, 271]]"
recency_rule,Pooled,4529,0.13799955840141312,0.43159401195462455,0.7869536885245902,0.9278113103864424,0.30497147765070615,0.21218074656188604,0.864,0.34069400630914826,"[[1899, 2005], [85, 540]]"
recency_frequency_heuristic,September,2247,0.13796172674677348,0.48639887601565035,0.8536846137192532,0.661517430628691,0.19765922809042977,0.31650246305418717,0.8290322580645161,0.45811051693404636,"[[1382, 555], [53, 257]]"
recency_frequency_heuristic,October,2282,0.13803680981595093,0.4562987934586709,0.8394041365063225,0.6597094644042361,0.1901485173141416,0.32677165354330706,0.7904761904761904,0.4623955431754875,"[[1454, 513], [66, 249]]"
recency_frequency_heuristic,Pooled,4529,0.13799955840141312,0.46878013835124294,0.845946106557377,0.6606064615573273,0.19387485140871424,0.32147395171537485,0.8096,0.4602091859936335,"[[2836, 1068], [119, 506]]"
logistic_unweighted,September,2247,0.13796172674677348,0.47729944001266855,0.8590620680466966,0.2914584598896365,0.09044116527632814,0.5915492957746479,0.2709677419354839,0.37168141592920356,"[[1879, 58], [226, 84]]"
logistic_unweighted,October,2282,0.13803680981595093,0.44705754641157647,0.8425851954067513,0.3043726869974675,0.09524386587620433,0.4927536231884058,0.21587301587301588,0.30022075055187636,"[[1897, 70], [247, 68]]"
logistic_unweighted,Pooled,4529,0.13799955840141312,0.45861815097909864,0.8507561475409836,0.29796547385741534,0.09286107315199993,0.5428571428571428,0.2432,0.33591160220994476,"[[3776, 128], [473, 152]]"
logistic_balanced,September,2247,0.13796172674677348,0.4714118339579059,0.8587573067763586,0.5357475778608543,0.1790160044166851,0.32923832923832924,0.864516129032258,0.47686832740213525,"[[1391, 546], [42, 268]]"
logistic_balanced,October,2282,0.13803680981595093,0.4387237649638848,0.8411374988904221,0.5529943181865181,0.1855510857025714,0.3169267707082833,0.8380952380952381,0.45993031358885017,"[[1398, 569], [51, 264]]"
logistic_balanced,Pooled,4529,0.13799955840141312,0.4530804385527946,0.8499540983606558,0.5444375892150528,0.1823087965329122,0.32301153612629024,0.8512,0.46830985915492956,"[[2789, 1115], [93, 532]]"
