cohort,capacity,flagged,positives_captured,precision,recall,base_prevalence,lift
September,0.05,113,69,0.6106194690265486,0.22258064516129034,0.13796172674677348,4.426006280331144
September,0.1,225,124,0.5511111111111111,0.4,0.13796172674677348,3.9946666666666664
September,0.15,338,164,0.48520710059171596,0.5290322580645161,0.13796172674677348,3.516968887192212
September,0.2,450,201,0.44666666666666666,0.6483870967741936,0.13796172674677348,3.237612903225806
October,0.05,115,69,0.6,0.21904761904761905,0.13803680981595093,4.346666666666667
October,0.1,229,117,0.5109170305676856,0.37142857142857144,0.13803680981595093,3.701310043668122
October,0.15,343,159,0.46355685131195334,0.5047619047619047,0.13803680981595093,3.3582118561710397
October,0.2,457,188,0.4113785557986871,0.5968253968253968,0.13803680981595093,2.9802090931193774
Pooled,0.05,227,137,0.6035242290748899,0.2192,0.13799955840141312,4.373377973568282
Pooled,0.1,453,240,0.5298013245033113,0.384,0.13799955840141312,3.839152317880795
Pooled,0.15,680,323,0.475,0.5168,0.13799955840141312,3.4420399999999995
Pooled,0.2,906,389,0.42935982339955847,0.6224,0.13799955840141312,3.1113130242825604
