threshold,flagged,positive_prediction_rate,precision,recall,f1,tn,fp,fn,tp
0.05,2399,0.5296975049679841,0.2463526469362234,0.9456,0.39087301587301587,2096,1808,34,591
0.1,1723,0.38043718260101567,0.3157283807312826,0.8704,0.46337308347529804,2725,1179,81,544
0.15000000000000002,1295,0.28593508500772796,0.3644787644787645,0.7552,0.4916666666666667,3081,823,153,472
0.2,972,0.21461691322587767,0.4166666666666667,0.648,0.5072010018785222,3337,567,220,405
0.25,704,0.15544270258335174,0.4715909090909091,0.5312,0.4996237772761475,3532,372,293,332
0.30000000000000004,501,0.11062044601457276,0.5169660678642715,0.4144,0.46003552397868563,3662,242,366,259
0.35000000000000003,302,0.06668138661956281,0.5827814569536424,0.2816,0.3797195253505934,3778,126,449,176
0.4,184,0.04062706999337602,0.6141304347826086,0.1808,0.27935723114956734,3833,71,512,113
0.45,96,0.021196732170457054,0.6979166666666666,0.1072,0.18585298196948685,3875,29,558,67
0.5,43,0.009494369618017221,0.6744186046511628,0.0464,0.08682634730538921,3890,14,596,29
