,missing_pct,zero_pct,median,p05,p25,p75,p95,skew
recency_days,0.0,16.71720629952069,4.0,0.0,1.0,12.0,42.0,3.665115468902161
basket_frequency_lifetime,0.0,0.0,26.0,6.0,13.0,46.0,106.89999999999964,3.998701806406165
monetary_lifetime,0.0,0.0,739.64,110.43,335.83000000000004,1435.3600000000001,3267.832999999997,2.5816994549573105
average_basket_value,0.0,0.0,27.33725806451613,9.097002070393376,18.00404411764706,41.28402777777778,72.372175,1.9713350983236004
baskets_last_7d,0.0,38.33512667514428,1.0,0.0,0.0,2.0,5.0,2.9510639091149136
baskets_last_14d,0.0,21.803775799667417,2.0,0.0,1.0,4.0,9.0,3.2527377291148833
baskets_last_28d,0.0,9.331898659884574,4.0,0.0,2.0,7.0,17.0,3.5676264295151237
baskets_last_56d,0.0,2.8073950895040594,8.0,1.0,4.0,15.0,33.0,3.61802365747838
spend_last_28d,0.0,9.37102611757801,107.28999999999999,0.0,33.75,235.54500000000002,538.499,2.291812062247958
spend_last_56d,0.0,2.8171769539274187,222.85,10.34,86.845,461.005,1036.9829999999995,2.292161055582891
median_days_between_baskets,0.0,0.0,4.682511574074074,1.0666319444444445,2.7664351851851854,8.02400462962963,19.722456018518493,2.3745673999781003
mean_days_between_baskets,0.0,0.0,6.498114510995371,1.7205012139319553,3.818641269997926,11.772468190208183,24.497421875,1.9125058260109296
std_days_between_baskets,0.0,0.0,5.923124538592548,1.6223733889873095,3.345092671197677,11.020498956599166,25.621138916635722,2.597585405453145
active_span_days,0.0,0.0,164.0,94.0,122.0,203.0,237.0,-0.01098343149788768
active_days,0.0,0.0,23.0,6.0,12.0,40.0,80.89999999999964,2.0288066429708103
active_weeks,0.0,0.0,16.0,5.0,10.0,22.0,31.0,0.4117961241339845
active_months,0.0,0.0,5.0,3.0,4.0,7.0,8.0,0.07526074168931444
unique_products,0.0,0.0,183.0,31.0,93.0,315.0,593.0,1.5628773557614064
unique_departments,0.0,0.0,10.0,5.0,8.0,12.0,15.0,0.14423186845949232
department_spend_hhi,0.0,0.0,0.3436872273932632,0.21861291100813698,0.28297494998854433,0.41704220224820004,0.5622407947793995,1.1589329933922492
discount_share_of_gross,0.0,0.009781864423359092,0.1496542375996508,0.07280197410280198,0.11536916348921279,0.19076982716950572,0.2669523099850969,0.7179052008961258
coupon_basket_rate,0.0,44.97701261860511,0.020833333333333332,0.0,0.0,0.08333333333333333,0.25635062611806775,2.908173108963462
discounted_basket_rate,0.0,0.009781864423359092,0.8666666666666667,0.6,0.7777777777777778,0.9285714285714286,1.0,-1.3506937269875787
baskets_28d_change,0.0,16.433532231243277,0.0,-6.0,-2.0,2.0,6.0,-0.16519381542617373
spend_28d_change,0.0,2.8171769539274187,0.0,-199.769,-54.269999999999996,51.984999999999985,203.19900000000004,0.015138509450352887
