mean_score,observed_rate,model
0.005334134841523365,0.006622516556291391,ET-2
0.009920221028931468,0.008830022075055188,ET-2
0.016288758615634134,0.008830022075055188,ET-2
0.028660513351923208,0.026490066225165563,ET-2
0.04819330782334006,0.037527593818984545,ET-2
0.07816202858335951,0.07079646017699115,ET-2
0.12021156643176886,0.1479028697571744,ET-2
0.18556637922402497,0.2229580573951435,ET-2
0.2828905926340358,0.31346578366445915,ET-2
0.4385921923553385,0.5364238410596026,ET-2
0.0011931293345572116,0.008830022075055188,HGB-1
0.002747770217312461,0.004415011037527594,HGB-1
0.006268721947733302,0.006622516556291391,HGB-1
0.01432198182212308,0.02207505518763797,HGB-1
0.03505223921995556,0.04194260485651214,HGB-1
0.07428696103430199,0.07300884955752213,HGB-1
0.13617461849005122,0.15011037527593818,HGB-1
0.22575719606872938,0.2141280353200883,HGB-1
0.3613789848300146,0.33774834437086093,HGB-1
0.5600825673540397,0.5209713024282561,HGB-1
0.0028845213156822374,0.008830022075055188,Logistic
0.007824517795563512,0.008830022075055188,Logistic
0.014552363693186566,0.008830022075055188,Logistic
0.024882866029078025,0.013245033112582781,Logistic
0.042365530200216356,0.05739514348785872,Logistic
0.07038719134214526,0.06858407079646017,Logistic
0.11631882094507227,0.1545253863134658,Logistic
0.19485677358120884,0.2185430463576159,Logistic
0.3278378615628456,0.3487858719646799,Logistic
0.5455672233049769,0.4922737306843267,Logistic
