mean_score,observed_rate,model,cohort
0.0012052523515327295,0.013333333333333334,HGB-1,September
0.0027248828044079583,0.0,HGB-1,September
0.006320090172825712,0.008928571428571428,HGB-1,September
0.014155141300063288,0.008888888888888889,HGB-1,September
0.03493929689938968,0.04,HGB-1,September
0.07381008083643922,0.07589285714285714,HGB-1,September
0.13709646161808936,0.12444444444444444,HGB-1,September
0.22622928713927504,0.22321428571428573,HGB-1,September
0.3605308234121632,0.3288888888888889,HGB-1,September
0.5620589418237406,0.5555555555555556,HGB-1,September
0.0027011528266957944,0.017777777777777778,Logistic,September
0.0075936272477482615,0.0044444444444444444,Logistic,September
0.014400212683308442,0.008928571428571428,Logistic,September
0.024862421907736715,0.0044444444444444444,Logistic,September
0.04206797630099037,0.044444444444444446,Logistic,September
0.07070912078841257,0.06696428571428571,Logistic,September
0.11634555540012327,0.1511111111111111,Logistic,September
0.1957614250670082,0.20982142857142858,Logistic,September
0.32384222152716996,0.36,Logistic,September
0.5459199243970245,0.5111111111111111,Logistic,September
0.0011838214065369606,0.004366812227074236,HGB-1,October
0.002782004437728793,0.008771929824561403,HGB-1,October
0.006233027187169848,0.008771929824561403,HGB-1,October
0.014536108867641265,0.03508771929824561,HGB-1,October
0.03513618317882458,0.039473684210526314,HGB-1,October
0.07472673179245315,0.07017543859649122,HGB-1,October
0.1353982631467486,0.17543859649122806,HGB-1,October
0.22501291745298985,0.20614035087719298,HGB-1,October
0.36136682475437315,0.33771929824561403,HGB-1,October
0.5576727011022737,0.49344978165938863,HGB-1,October
0.0030822505630743228,0.0,Logistic,October
0.008095666079836444,0.013157894736842105,Logistic,October
0.014692381487182403,0.008771929824561403,Logistic,October
0.02490525170935079,0.021929824561403508,Logistic,October
0.0426655230626142,0.07017543859649122,Logistic,October
0.07006468345235692,0.07017543859649122,Logistic,October
0.11634010932000068,0.16228070175438597,Logistic,October
0.1937484691500358,0.2236842105263158,Logistic,October
0.3309912293300367,0.34649122807017546,Logistic,October
0.5446439236345423,0.462882096069869,Logistic,October
