algorithm,k,silhouette,davies_bouldin,calinski_harabasz,inertia,distance_median,distance_p95,min_share,ari_mean,ari_min,ari_max,counts,shares,bic,aic,max_responsibility_median,max_responsibility_p10,low_responsibility_share,assignment_entropy_mean
kmeans,2,0.1930814551923511,1.8128541504366213,581.0962709040126,9736.049321095794,1.7657906143664144,3.366896363660971,0.45705384957721407,0.9932109164637755,0.9875715360039453,1.0,"{""0"": 1027, ""1"": 1220}","{""0"": 0.45705384957721407, ""1"": 0.5429461504227859}",,,,,,
kmeans,3,0.20312844392672355,1.5647334449404775,559.6854955211734,8177.1373638352325,1.6880553637440345,2.898000279454863,0.1303960836671117,0.9937763123359942,0.9880765537756562,1.0,"{""0"": 293, ""1"": 1077, ""2"": 877}","{""0"": 0.1303960836671117, ""1"": 0.47930574098798395, ""2"": 0.3902981753449043}",,,,,,
kmeans,4,0.13821359470286662,1.8301354506614829,466.33555812841354,7548.171360228689,1.6261954383790609,2.784501246894087,0.1054739652870494,0.9864277199571632,0.9528149475620606,1.0,"{""0"": 758, ""1"": 504, ""2"": 748, ""3"": 237}","{""0"": 0.3373386737872719, ""1"": 0.22429906542056074, ""2"": 0.33288829550511795, ""3"": 0.1054739652870494}",,,,,,
kmeans,5,0.13254742748209317,1.8834625654336605,414.03051307722296,7049.110267274487,1.558343065547998,2.7097244036369257,0.09345794392523364,0.8759888826467644,0.7649695469539836,1.0,"{""0"": 636, ""1"": 485, ""2"": 210, ""3"": 607, ""4"": 309}","{""0"": 0.28304405874499333, ""1"": 0.21584334668446817, ""2"": 0.09345794392523364, ""3"": 0.27013796172674676, ""4"": 0.1375166889185581}",,,,,,
kmeans,6,0.1360392708427338,1.7223089404451277,380.7198607516342,6626.94767076889,1.5158109056940803,2.6313228252858654,0.08455718736092568,0.9425520203266697,0.8437913003646317,0.9990008570856825,"{""0"": 388, ""1"": 394, ""2"": 541, ""3"": 190, ""4"": 538, ""5"": 196}","{""0"": 0.17267467734757455, ""1"": 0.17534490431686695, ""2"": 0.24076546506453048, ""3"": 0.08455718736092568, ""4"": 0.2394303515798843, ""5"": 0.08722741433021806}",,,,,,
kmeans,7,0.12795583544887287,1.7134704148428261,352.6643498132561,6302.548864943172,1.4806773772656407,2.5489779192428896,0.06987093902981753,0.9039457119066141,0.7088264096700908,1.0,"{""0"": 157, ""1"": 453, ""2"": 283, ""3"": 459, ""4"": 329, ""5"": 170, ""6"": 396}","{""0"": 0.06987093902981753, ""1"": 0.20160213618157544, ""2"": 0.12594570538495772, ""3"": 0.20427236315086783, ""4"": 0.14641744548286603, ""5"": 0.07565643079661771, ""6"": 0.17623497997329773}",,,,,,
kmeans,8,0.12492030792398102,1.6817875081435296,329.93768638180035,6032.995720852495,1.4561518117666097,2.495760330925358,0.029817534490431688,0.7621907896938883,0.6187058019904187,0.9674444368444683,"{""0"": 360, ""1"": 398, ""2"": 309, ""3"": 223, ""4"": 180, ""5"": 231, ""6"": 479, ""7"": 67}","{""0"": 0.1602136181575434, ""1"": 0.17712505562972852, ""2"": 0.1375166889185581, ""3"": 0.09924343569203382, ""4"": 0.0801068090787717, ""5"": 0.102803738317757, ""6"": 0.2131731197151758, ""7"": 0.029817534490431688}",,,,,,
gmm,2,0.1730931931484832,,,,,,0.3177570093457944,0.999154499594239,0.9981882134162261,1.0,"{""0"": 1533, ""1"": 714}","{""0"": 0.6822429906542056, ""1"": 0.3177570093457944}",21100.554433719844,20477.363145051644,0.9895334464270746,0.8085575312201536,0.02848242100578549,0.1457822867185549
gmm,3,0.09889171229733787,,,,,,0.21539830885625277,0.9994342654792537,0.9987877117412579,1.0,"{""0"": 484, ""1"": 917, ""2"": 846}","{""0"": 0.21539830885625277, ""1"": 0.40809968847352024, ""2"": 0.376502002670227}",11277.03550983526,10339.389901196866,0.9964331369805234,0.9082979035820917,0.01335113484646195,0.08925969175053221
gmm,4,0.11470464388480614,,,,,,0.05740987983978638,0.9162386856085972,0.7179374527500035,0.9985978011816347,"{""0"": 129, ""1"": 890, ""2"": 825, ""3"": 403}","{""0"": 0.05740987983978638, ""1"": 0.3960836671117045, ""2"": 0.3671562082777036, ""3"": 0.17935024477080552}",10663.888858815655,9411.788930207069,0.9979764468639059,0.8744107610238556,0.0262572318647085,0.1039623137285225
